context_eng,context_urdu
"Subject-matter of Federal and Provincial laws

Subject to the Constitution—
1[Majlis-e-Shoora (Parliament)] shall have exclusive power to make laws with respect to any matter in the Federal Legislative List;
2[(b) Majlis-e-Shoora (Parliament) and a Provincial Assembly shall have power to make laws with respect to criminal law, criminal procedure and evidence;]
3[(c) Subject to paragraph (b), a Provincial Assembly shall, and Majlis-e-Shoora (Parliament) shall not, have power to make laws with respect to any matter not enumerated in the Federal Legislative List;]
4[(d) Majlis-e-Shoora (Parliament) shall have exclusive power to make laws with respect to all matters pertaining to such areas in the Federation as are not included in any Province].","۲۴۱۔ دستور کے تابع وفاقی اور صوبائی قوانین کے موضوعات

الف) مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل کسی امر کے بارے میں قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا۔

ب) مجلس شوریٰ (پارلیمنٹ) اور کسی صوبائی اسمبلی کو بھی فوجداری قانون، ضابطہ فوجداری اور شہادت کے بارے میں قوانین وضع کرنے کا اختیار ہوگا۔

ج) پیرا (ب) کے مطابق کسی ایسے امر کے بارے میں جو وفاقی قانون سازی کی فہرست میں شامل نہیں ہے، قوانین بنانے کا اختیار صوبائی اسمبلی کو ہوگا اور مجلس شوریٰ (پارلیمنٹ) کو نہیں ہوگا۔

د) مجلس شوریٰ (پارلیمنٹ) کو تمام امور کے بارے میں وفاق کے ایسے علاقوں کے لیے قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا جو کسی صوبے میں شامل نہیں ہیں۔"
"Power of the Provinces to entrust functions to the Federation

Notwithstanding anything contained in the Constitution, the Government of a Province may, with the consent of the Federal Government, entrust, either conditionally or unconditionally, to the Federal Government, or to its officers, functions in relation to any matter to which the executive authority of the Province extends 1[:]

2[Provided that the Provincial Government shall get the functions so entrusted ratified by the Provincial Assembly within sixty days.]","آرٹیکل 147: صوبوں کا وفاق کو کارہائے منصبی سپرد کرنے کا اختیار

آئین میں کسی بھی چیز کے باوجود، صوبے کی حکومت وفاقی حکومت کی رضامندی سے، کسی ایسے معاملے سے متعلق، جو صوبے کے عاملانہ اختیار کے دائرے میں آتا ہو، کارہائے منصبی، یا تو مشروط یا غیر مشروط طور پر، وفاقی حکومت یا اس کے عہدیداروں کے سپرد کر سکتی ہے:

مگر شرط یہ ہے کہ صوبائی حکومت کارہائے منصبی کو حاصل کرے گی جو اس طرح سپرد کیے گئے جن کی صوبائی اسمبلی ساٹھ دنوں میں توثیق کرے گی۔"
"Provision relating to the State of Jammu and Kashmir

When the people of the State of Jammu and Kashmir decide to accede to Pakistan, the relationship between Pakistan and that State shall be determined in accordance with the wishes of the people of that State.",جب ریاست جموں و کشمیر کے عوام پاکستان میں شامل ہونے کا فیصلہ کریں، تو پاکستان اور مذکورہ ریاست جموں و کشمیر کے درمیان تعلقات مذکورہ ریاست کے عوام کی خواہشات کے مطابق متعین ہوں گے۔
"Extent of executive authority of Federation

Subject to the Constitution, the executive authority of the federation shall extend to the matters with respect to which 1[Majlis-e- Shoora (Parliament)] has power to make laws, including exercise of rights, authority and jurisdiction in and in relation to areas outside Pakistan :

Provided that the said authority shall not, save as expressly provided in the Constitution or in any law made by 1[Majlis-e-Shoora (Parliament)], extend in any Province to a matter with respect to which the Provincial Assembly has also power to make laws.","
وفاق کے عاملانہ اختیار

دستور کے تابع، وفاق کا عاملانہ اختیار ان امور پر حاوی ہوگا جن کے بارے میں مجلس شوریٰ (پارلیمنٹ) کو قوانین وضع کرنے کا اختیار ہے، جس میں پاکستان میں اور اس سے باہر کے علاقوں کے متعلق حقوق، اقتدار اور دائرہ اختیار کو بروئے کار لانا شامل ہے:

مگر شرط یہ ہے کہ مذکورہ اقتدار، ماسواۓ جیسا کہ دستور میں یا مجلس شوریٰ (پارلیمنٹ) کے وضع کردہ کسی قانون میں بالصرات موجود ہو، کسی صوبے میں کسی ایسے امر پر حاوی نہیں ہوگا جس کے بارے میں صوبائی اسمبلی کو بھی قوانین وضع کرنے کا اختیار ہو۔
"
"Provisions relating to the Holy Quran and Sunnah

(1) All existing laws shall be brought in conformity with the Injunctions of Islam as laid down in the Holy Quran and Sunnah, in this part referred to as the Injunctions of Islam, and no law shall be enacted which is repugnant to such Injunctions.

1[Explanation.—In the application of this clause to the personal law of any Muslim sect, the expression ""Quran and Sunnah"" shall mean the Quran and Sunnah as interpreted by the sect.]
Effect shall be given to the provisions of clause (1) only in the manner provided in this Part.
Nothing in this Part shall affect the personal laws of non- Muslim citizens or their status as citizens.","۷۲۲۔ تمام موجودہ قوانین کو قرآن پاک اور سنت کے احکام کے مطابق بنایا جائے گا، جن کا اس حصے میں بطور اسلامی احکام حوالہ دیا گیا ہے، اور ایسا کوئی قانون وضع نہیں کیا جائے گا جو مذکورہ احکام کے منافی ہو۔

تشریح: کسی مسلم فرقے کے قانون شخصی پر اس شق کا اطلاق کرتے ہوئے، عبارت ""قرآن و سنت"" سے مراد مذکورہ فرقے کی کی ہوئی تفسیر کے مطابق قرآن اور سنت ہوگی۔

شق ۱ کے احکام کو صرف اس طریقے کے مطابق نافذ کیا جائے گا جو اس حصے میں منضبط ہے۔

اس حصے میں کسی امر کا غیر مسلم شہریوں کے قوانین شخصی یا شہریوں کی بطور ان کی حیثیت پر اثر نہیں پڑے گا۔"
"Power of Council to enforce attendance of persons, etc.

(1)     For the purpose of inquiring into any matter, the Council shall have the same power as the Supreme Court has to issue directions or orders for securing the attendance of any person or the discovery or production of any document; and any such direction or order shall be enforceable as if it had been issued by the Supreme Court.

1 Subs. by the Constitution (Eighteenth Amdt.) Act, 2010 (10 of 2010), s. 76, for “clause (5)”.


(2)   The provisions of Article 204 shall apply to the Council as they apply to the Supreme Court and a High Court.","کونسل کا اشخاص وغیرہ

(1) کسی معاملے کی تحقیقات کی غرض کے لیے، کونسل کو وہی اختیارات حاصل ہوں گے جو عدالت عظمیٰ کو کسی شخص کو حاضر عدالت کرانے کے لیے یا کسی دستاویز کی برآمدگی یا اس کو پیش کرنے کے لیے ہدایات یا احکام جاری کرنے کے لیے حاصل ہیں؛ اور کوئی ایسی ہدایت یا حکم اس طرح قابل نفاذ ہوگا گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوا ہو۔

(2) آرٹیکل 204 کے احکام کا اطلاق کونسل پر اس طرح ہوگا جس طرح ان کا اطلاق عدالت عظمیٰ یا کسی عدالت عالیہ پر ہوتا ہے۔"
"Custody, etc., of Federal Consolidated Fund and Public Account

The custody of the Federal Consolidated Fund, the payment of moneys into that Fund, the withdrawal of moneys therefrom, the custody of other moneys received by or on behalf of the Federal Government, their payment into, and withdrawal from, the Public Account of the Federation, and all matters connected with or ancillary to the matters aforesaid shall be regulated by Act of 1[Majlis-e-Shoora (Parliament)] or, until provision in that behalf is so made, by rules made by the President.","وفاقی مجموعی فنڈ کی تحویل، اس فنڈ میں رقوم کی ادائیگی، اس سے رقوم کی بازخواست، وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ دیگر رقوم کی تحویل، وفاق کے سرکاری حساب میں ان کی ادائیگی اور بازخواست، اور مذکورہ بالا امور سے متعلق یا ضمنی جملہ امور مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا، اس بارے میں اس طرح احکام وضع ہونے تک، صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔

احیائے دستور 1973ء کا فرمان، 1995ء فرمان صدر نمبر 14 مجریہ 1981ء کے آرٹیکل 1 اور جدول کی رد سے پارلیمنٹ کی بجائے تبدیل کئے گئے۔

اسلامی جمہوریہ پاکستان کا دستور"
"Participation of people in Armed Forces

The State shall enable people from all parts of Pakistan to participate in the Armed Forces of Pakistan.",۹۳۔ مملکت پاکستان کے تمام علاقوں کے لوگوں کو پاکستان کی مسلح افواج میں شرکت کے قابل بنائے گی۔
"Power of Auditor-General to give directions as to accounts

4[(1)] The accounts of the Federation and of the Provinces shall be kept in such form and in accordance with such principles and methods as the Auditor-General may, with the approval of the President, prescribe.

4[(2) The audit of the accounts of the Federal and of the Provincial Governments and the accounts of any authority or body established by, or under the control of, the Federal or a Provincial Government shall be conducted by the Auditor-General, who shall determine the extent and nature of such audit.]","۱۔ وفاق اور صوبوں کے حسابات، ایسی شکل میں اور ایسے اصولوں اور طریقوں کے مطابق رکھے جائیں گے جنہیں محاسب اعلیٰ، صدر کی منظوری سے، مقرر کرے۔

۲۔ وفاقی اور صوبائی حکومتوں کے حسابات اور کسی بھی بنیت مجاز یا جماعت جو کہ وفاقی یا صوبائی حکومت کی جانب سے قائم کی گئی یا اس پر نگرانی ہو، کے حسابات کا محاسبہ محاسب اعلیٰ انجام دے گا، جو کہ مذکورہ محاسبہ کی وسعت اور نوعیت کا تعین کرے گا۔"
"Bill not to lapse on prorogation, etc.

(1)     A Bill pending in either House shall not lapse by reason of the prorogation of the House.

A Bill pending in the Senate which has not been passed by the National Assembly shall not lapse on the dissolution of the National Assembly.

A Bill pending in the National Assembly, or a Bill which having been passed by the National Assembly is pending in the Senate, shall lapse on the dissolution of the National Assembly.","کسی بھی ایوان میں زیر غور کوئی بل اس ایوان کی برخاستگی کی بناء پر ساقط نہیں ہوگا۔

سینیٹ میں زیر غور کوئی بل جسے قومی اسمبلی نے منظور نہ کیا ہو، قومی اسمبلی کے ٹوٹنے پر ساقط نہیں ہوگا۔

قومی اسمبلی میں زیر غور کوئی بل یا کوئی بل جو قومی اسمبلی سے منظور ہو جانے پر سینیٹ میں زیر غور ہو، قومی اسمبلی کے ٹوٹنے پر ساقط ہو جائے گا۔"
"Reference by 3[Majlis-e-Shoora (Parliament)], etc., to Islamic Council
The President or the Governor of a Province may, or if two-fifths of its total membership so requires, a House or a Provincial Assembly shall, refer to the Islamic Council for advice any question as to whether a proposed law is or is not repugnant to the Injunctions of Islam.","۳[مجلسِ شوریٰ (پارلیمنٹ)] وغیرہ کی اسلامی کونسل کو حوالہ

صدر یا کسی صوبے کا گورنر، یا اگر کسی ایوان یا کسی صوبائی اسمبلی کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے، تو کسی سوال پر اسلامی کونسل سے مشورہ کیا جائے گا کہ آیا کوئی مجوزہ قانون اسلام کے احکام کے منافی ہے یا نہیں۔"
"Remuneration etc., of judges
The remuneration and other terms and conditions of service of a Judge of the Supreme Court or of a High Court shall be as provided in the

1 Paragraphs (c), (d) and (e) added ibid.
2 Subs. by P O. No. 14 of 1985, Art. 2 and Sch., for ""Article 204"".

Fifth Schedule.","ججوں کا مشاہرہ

سپریم کورٹ یا کسی ہائی کورٹ کے کسی جج کا مشاہرہ اور دوسری شرائط ملازمت وہ ہوں گی جو جدول پنجم میں مذکور ہیں۔"
"Definitions

203B. In this Chapter, unless there is anything repugnant in the subject or context,—

1[(a)	""Chief Justice"" means Chief Justice of the Court;]

""Court"" means the Federal Shariat Court constituted in pursuance of Article 203C ;

2[(bb)	""Judge"" means Judge of the Court;]

""law"" includes any custom or usage having the force of law but does not include the Constitution, Muslim personal law, any law relating to the procedure of any court or tribunal or, until the expiration of 3[ten] years from the commencement of this Chapter, any fiscal law or any law relating to the levy and collection of taxes and fees or banking or insurance practice and procedure ; and","
۳۰۲۔ب۔ اس باب میں، تاوقتیکہ کوئی امر موضوع یا سیاق و سباق کے منافی نہ ہو، تعریفات:

(الف) ""چیف جسٹس"" سے عدالت کا چیف جسٹس مراد ہے؛

(ب) ""عدالت"" سے آرٹیکل ۳۰۲ج کے بموجب تشکیل کردہ وفاقی شرعی عدالت مراد ہے؛

(بب) ""جج"" سے اس عدالت کا جج مراد ہے؛

(ج) ""قانون"" میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے؛ اور
"
"Removal of doubt
267B. For removal of doubt it is hereby declared that Article 152A omitted and Articles 179 and 195 substituted by the Constitution (Seventeenth Amendment) Act, 2003 (Act No. III of 2003), notwithstanding its repeal, shall be deemed always to have been so omitted and substituted.]",۷۶۲ﺏ۔ ازالہ شک کے لیے بذریعہ ہذا قرار دیا جاتا ہے کہ آرٹیکل ۱۵۲اے کو حذف اور آرٹیکل ۱۷۹ اور ۱۹۵ کو دستور (سترہویں ترمیم) ایکٹ، ۲۰۰۳ (ایکٹ نمبر ۳ بابت ۲۰۰۳) کے ذریعے تبدیل کر دیے گئے ہیں، ان کی تنسیخ کے باوجود، ہمیشہ اسی طرح حذف شدہ اور تبدیل شدہ متصور ہوں گے۔
"Prime Minister continuing in office

The President may ask the Prime Minister to continue to hold office until his successor enters upon the office of Prime Minister.",۴۱۔ صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکے گا جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔
"Prior sanction of President required to Bills affecting taxation in which Provinces are interested

No Bill or amendment which imposes or varies a tax or duty the whole or part of the net proceeds whereof is assigned to any Province, or which varies the meaning of the expression ""agricultural income"" as defined for the purposes of the enactments relating to income-tax, or which affects the principles on which under any of the foregoing provisions of this Chapter moneys are or may be distributable to Provinces, shall be introduced or moved in the National Assembly except with the previous sanction of the President.",کوئی ایسا بل یا ترمیم جس سے کوئی ایسا محصول یا ڈیوٹی عائد ہوتی ہو، یا تبدیل ہوتی ہو جس کی اصل آمدنی کلی یا جزوی طور پر کسی صوبے کو تفویض کی جاتی ہو، یا جس سے زرعی آمدنی کی اصطلاح کا وہ مفہوم تبدیل ہوتا ہو جو حصول آمدنی سے متعلق وضع کردہ قوانین کی اغراض کے لیے متعین کیا گیا ہے یا جو ان اصولوں کو متاثر کرتی ہو جن پر اس باب کے مذکورہ بالا احکام میں سے کسی کے تحت رقوم صوبوں میں تقسیم کی جاتی ہوں یا کی جا سکتی ہوں، صدر کی ماقبل منظوری کے بغیر نہ قومی اسمبلی میں پیش کی جائے گی نہ اس کی تحریک کی جائے گی۔
"Oath of Office

Before entering upon office, the Chief Justice of Pakistan shall make before the President, and any other Judge of the Supreme Court shall make before the Chief Justice, oath in the form set out in the Third Schedule.",عہدہ سنبھالنے سے قبل، چیف جسٹس پاکستان صدر کے سامنے، اور عدالت عظمیٰ کا کوئی دوسرا جج چیف جسٹس کے سامنے، اس عبارت میں حلف اٹھائے گا جو جدول سوم میں درج کی گئی ہے۔
"Repeal

The Interim Constitution of the Islamic Republic of Pakistan, together with the Acts and President's Orders making omissions from, additions to, modifications of, or amendments in, that Constitution is hereby repealed.","تنسیخ

اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے اس دستور میں محذوفات، اضافے، ردوبدل یا ترامیم کی گئیں، بذریعہ ہذا منسوخ کیا جاتا ہے۔"
"Duration of Provincial Assembly

A Provincial Assembly shall, unless sooner dissolved, continue for a term of five years from the day of its first meeting and shall stand dissolved at the expiration of its term.","ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﮐﯽ ﻣﯿﻌﺎﺩ

ﮐﻮﺋﯽ ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ، ﺍﮔﺮ ﻭﮦ ﻗﺒﻞ ﺍﺯ ﻭﻗﺖ ﺗﻮﮌ ﻧﮧ ﺩﯼ ﺟﺎﺋﮯ، ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﮯ ﮔﯽ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺋﮯ ﮔﯽ۔"
"Right to speak in Provincial Assembly

The Advocate-General shall have the right to speak and otherwise take part in the proceedings of the Provincial Assembly or any committee thereof of which he may be named a member, but shall not by virtue of this Article be entitled to vote.",۱۱۱۔ ایڈووکیٹ جنرل کو صوبائی اسمبلی یا اس کی کسی کمیٹی میں، جس کا اسے رکن نامزد کر دیا جائے، تقریر کرنے اور بصورت دیگر اس کی کارروائی میں حصہ لینے کا حق ہوگا، لیکن اس آرٹیکل کی رو سے وہ ووٹ دینے کا مستحق نہ ہوگا۔
"Protection against double punishment and self incrimination

No person—

shall be prosecuted or punished for the same offence more than once; or

shall, when accused of an offence, be compelled to be a witness against himself.","ﺩﻭﮨﺮﯼ ﺳﺰﺍ ﺍﻭﺭ ﺍﭘﻨﮯ ﺧﻼﻑ ﮔﻮﺍﮦ ﺑﻨﻨﮯ ﮐﺎ ﺗﺤﻔﻆ

ﮐﺴﯽ ﺷﺨﺺ ﮐﻮ—

ﯾﮧ ﺍﯾﮏ ﮨﯽ ﺟﺮﻡ ﮐﯽ ﺑﻨﺎﺀ ﭘﺮ ﺍﯾﮏ ﺑﺎﺭ ﺳﮯ ﺯﯾﺎﺩﮦ ﻧﮧ ﺗﻮ ﻣﻘﺪﻣﮧ ﭼﻼﯾﺎ ﺟﺎﺋﮯ ﮔﺎ ﺍﻭﺭ ﻧﮧ ﺳﺰﺍ ﺩﯼ ﺟﺎﺋﮯ ﮔﯽ؛ ﯾﺎ

ﺟﺐ ﮐﮧ ﺍﺱ ﭘﺮ ﮐﺴﯽ ﺟﺮﻡ ﮐﺎ ﺍﻟﺰﺍﻡ ﮨﻮ، ﺍﺱ ﺑﺎﺕ ﭘﺮ ﻣﺠﺒﻮﺭ ﻧﮩﯿﮟ ﮐﯿﺎ ﺟﺎﺋﮯ ﮔﺎ ﮐﮧ ﻭﮦ ﺍﭘﻨﮯ ﮨﯽ ﺧﻼﻑ ﮔﻮﺍﮦ ﺑﻨﮯ۔"
"The Republic and its territories
11.	(1)	Pakistan shall be Federal Republic to be known as the Islamic Republic of Pakistan, hereinafter referred to as Pakistan.

2[(2)	The territories of Pakistan shall comprise—

the	Provinces	of	3[Balochistan],	the	4[Khyber Pakhtunkhwa], the Punjab and 5[Sindh];
the Islamabad Capital Territory, hereinafter referred to as the Federal Capital; 6[and]
6[(c)	*	*	*	*	*	*]

6[(c)] such States and territories as are or may be included in Pakistan, whether by accession or otherwise.

(3) 7[Majlis-e-Shoora (Parliament)] may by law admit into the Federation new States or areas on such terms and conditions as it thinks fit.]","۱۔ مملکت پاکستان ایک وفاقی جمہوریہ ہوگی جس کا نام اسلامی جمہوریہ پاکستان ہوگا جسے بعد ازیں پاکستان کہا جائے گا۔

۲۔ پاکستان کے علاقے مندرجہ ذیل پر مشتمل ہوں گے:

- صوبہ جات: بلوچستان، خیبر پختونخوا، پنجاب اور سندھ؛
- دارالحکومت اسلام آباد کا علاقہ جس کا حوالہ بعد ازیں وفاقی دارالحکومت کے طور پر دیا گیا ہے؛
- ایسی ریاستیں اور علاقے جو الحاق کے ذریعے یا کسی اور طریقے سے پاکستان میں شامل ہیں یا ہو جائیں۔

۳۔ مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔"
