,Question,Answer,Answer Chunk Index,Chunk_Page_Span,TOP_1,TOP_2,TOP_3,TOP_4,TOP_5
157,Who regulates the management of the Federal Consolidated Fund and the Public Account of the Federation?,"The management of the Federal Consolidated Fund and the Public Account of the Federation is regulated by an Act of Majlis-e-Shoora (Parliament) or, until such provision is made, by rules made by the President.",83,"(44, 44)","(44,)","(44, 43)","(44, 43, 41)","(44, 43, 41, 42)","(44, 43, 41, 42, 45)"
158,What does the article say about the handling of money received by the Federal Government?,"The article states that the custody, payment into, and withdrawal of money received by or on behalf of the Federal Government, and all related matters, shall be regulated by an Act of Majlis-e-Shoora (Parliament) or by rules made by the President until such provision is made.",83,"(44, 44)","(44,)","(44, 43)","(44, 43, 41)","(44, 43, 41, 85)","(44, 43, 41, 85, 45)"
159,Who is responsible for presenting the budget to the National Assembly each year?,The Federal Government is responsible for presenting the budget to the National Assembly each year.,84,"(44, 44)","(47,)","(47, 44)","(47, 44, 45)","(47, 44, 45, 40)","(47, 44, 45, 40, 53)"
160,What two types of expenditure must be shown separately in the Annual Budget Statement?,The Annual Budget Statement must show separately the sums required to meet expenditure charged upon the Federal Consolidated Fund and the sums required to meet other expenditure proposed to be made from the Federal Consolidated Fund.,84,"(44, 44)","(44,)","(44, 63)","(44, 63, 64)","(44, 63, 64, 45)","(44, 63, 64, 45, 46)"
161,Who receives remuneration that is charged upon the Federal Consolidated Fund?,"The remuneration charged upon the Federal Consolidated Fund is payable to the President, Judges of the Supreme Court and the Islamabad High Court, the Chief Election Commissioner, the Chairman and Deputy Chairman, the Speaker and Deputy Speaker of the National Assembly, and the Auditor-General.",85,"(44, 45)","(44,)","(44, 45)","(44, 45, 46)","(44, 45, 46, 83)","(44, 45, 46, 83, 41)"
162,What types of expenses are included in the administrative expenses charged upon the Federal Consolidated Fund?,"The administrative expenses include the remuneration payable to officers and staff of the Supreme Court, the Islamabad High Court, the department of the Auditor-General, the Office of the Chief Election Commissioner and the Election Commission, and the Secretariats of the Senate and the National Assembly.",85,"(44, 45)","(45,)","(45, 44)","(45, 44, 46)","(45, 44, 46, 85)","(45, 44, 46, 85, 63)"
163,Can the National Assembly vote on the expenditure charged upon the Federal Consolidated Fund?,"No, the expenditure charged upon the Federal Consolidated Fund may be discussed in the National Assembly but shall not be submitted to the vote of the Assembly.",86,"(45, 46)","(47,)","(47, 46)","(47, 46, 44)","(47, 46, 44, 45)","(47, 46, 44, 45, 173)"
164,What happens to a demand for a grant if the National Assembly does not vote on it within the specified period?,"For a period of ten years from the commencing day or the holding of the second general election to the National Assembly, whichever occurs later, a demand shall be deemed to have been assented to without any reduction of the amount specified therein, unless it is refused or assented to subject to a reduction by the votes of a majority of the total membership of the Assembly.",86,"(45, 46)","(46,)","(46, 45)","(46, 45, 47)","(46, 45, 47, 53)","(46, 45, 47, 53, 168)"
165,Who is responsible for authenticating the schedule of authorized expenditure?,The Prime Minister is responsible for authenticating the schedule of authorized expenditure.,87,"(46, 46)","(64,)","(64, 46)","(64, 46, 173)","(64, 46, 173, 65)","(64, 46, 173, 65, 47)"
166,Can the National Assembly discuss or vote on the authenticated schedule of authorized expenditure?,"No, the authenticated schedule of authorized expenditure shall be laid before the National Assembly but shall not be open to discussion or vote.",87,"(46, 46)","(46,)","(46, 64)","(46, 64, 47)","(46, 64, 47, 65)","(46, 64, 47, 65, 173)"
167,What can the Federal Government do if the allocated budget for a service is not enough during a financial year?,The Federal Government can authorize expenditure from the Federal Consolidated Fund and present a Supplementary Budget Statement to the National Assembly.,88,"(46, 47)","(46,)","(46, 65)","(46, 65, 47)","(46, 65, 47, 44)","(46, 65, 47, 44, 173)"
168,What happens if money is spent beyond the allocated amount for a service during a financial year?,The Federal Government can authorize the excess expenditure from the Federal Consolidated Fund and must present an Excess Budget Statement to the National Assembly.,88,"(46, 47)","(46,)","(46, 65)","(46, 65, 173)","(46, 65, 173, 47)","(46, 65, 173, 47, 66)"
169,Can the National Assembly approve funds before the full budget process is completed?,"Yes, the National Assembly can approve funds in advance for up to four months before the full budget process is completed.",89,"(47, 47)","(47,)","(47, 46)","(47, 46, 45)","(47, 46, 45, 53)","(47, 46, 45, 53, 44)"
170,What is the maximum duration for which the National Assembly can grant funds in advance?,The maximum duration for which the National Assembly can grant funds in advance is four months.,89,"(47, 47)","(47,)","(47, 45)","(47, 45, 46)","(47, 45, 46, 43)","(47, 45, 46, 43, 25)"
171,Can the Federal Government authorize spending if the National Assembly is dissolved?,"Yes, the Federal Government can authorize expenditure from the Federal Consolidated Fund if the National Assembly is dissolved.",90,"(47, 47)","(47,)","(47, 43)","(47, 43, 46)","(47, 43, 46, 45)","(47, 43, 46, 45, 66)"
172,For how long can the Federal Government authorize expenditure when the National Assembly is dissolved?,The Federal Government may authorize expenditure for a period not exceeding four months in any financial year.,90,"(47, 47)","(47,)","(47, 43)","(47, 43, 46)","(47, 43, 46, 28)","(47, 43, 46, 28, 138)"
173,Can each House of the Parliament have its own Secretariat?,"Yes, each House shall have a separate Secretariat.",91,"(47, 47)","(47,)","(47, 38)","(47, 38, 37)","(47, 38, 37, 128)","(47, 38, 37, 128, 23)"
174,Who can make rules regarding the recruitment and conditions of service for the secretarial staff of the National Assembly or the Senate until the Parliament makes provisions?,The Speaker or the Chairman may make rules with the approval of the President.,91,"(47, 47)","(47,)","(47, 95)","(47, 95, 31)","(47, 95, 31, 127)","(47, 95, 31, 127, 45)"
175,Who controls the expenditure of the National Assembly and the Senate?,The expenditure of the National Assembly and the Senate is controlled by the National Assembly or the Senate acting on the advice of its Finance Committee.,92,"(48, 48)","(47,)","(47, 48)","(47, 48, 45)","(47, 48, 45, 43)","(47, 48, 45, 43, 168)"
176,Who are the members of the Finance Committee?,"The Finance Committee consists of the Speaker or the Chairman, the Minister of Finance, and other members elected by the National Assembly or the Senate.",92,"(48, 48)","(48,)","(48, 84)","(48, 84, 83)","(48, 84, 83, 95)","(48, 84, 83, 95, 40)"
177,When can the President issue an Ordinance?,The President can issue an Ordinance when the Senate or National Assembly is not in session and if immediate action is necessary.,93,"(48, 49)","(48,)","(48, 49)","(48, 49, 159)","(48, 49, 159, 67)","(48, 49, 159, 67, 139)"
178,How long does an Ordinance remain in effect before it is repealed?,An Ordinance remains in effect for one hundred and twenty days from its promulgation unless a resolution disapproving it is passed before that period.,93,"(48, 49)","(67,)","(67, 49)","(67, 49, 48)","(67, 49, 48, 160)","(67, 49, 48, 160, 163)"
179,Can an Ordinance be extended beyond its initial period?,"Yes, the National Assembly or either House can extend an Ordinance for a further period of one hundred and twenty days by passing a resolution, but this extension can only be made once.",93,"(48, 49)","(67,)","(67, 49)","(67, 49, 137)","(67, 49, 137, 138)","(67, 49, 137, 138, 141)"
180,Who is the chief executive of the Federation in Pakistan?,The Prime Minister is the chief executive of the Federation.,94,"(50, 50)","(50,)","(50, 149)","(50, 149, 150)","(50, 149, 150, 144)","(50, 149, 150, 144, 80)"
181,How can the Prime Minister perform his functions under the Constitution?,The Prime Minister may act either directly or through the Federal Minister in the performance of his functions under the Constitution.,94,"(50, 50)","(50,)","(50, 22)","(50, 22, 53)","(50, 22, 53, 51)","(50, 22, 53, 51, 148)"
182,Who leads the Cabinet of Ministers in Pakistan?,The Prime Minister leads the Cabinet of Ministers in Pakistan.,95,"(50, 51)","(50,)","(50, 51)","(50, 51, 68)","(50, 51, 68, 130)","(50, 51, 68, 130, 52)"
183,What happens if no candidate secures a majority in the first poll for Prime Minister?,"If no candidate secures a majority in the first poll, a second poll is held between the candidates who secured the two highest numbers of votes in the first poll, and the candidate who secures a majority of votes in the second poll is declared elected as Prime Minister.",95,"(50, 51)","(50,)","(50, 130)","(50, 130, 129)","(50, 130, 129, 51)","(50, 130, 129, 51, 123)"
184,Can a Prime Minister in Pakistan serve multiple terms?,"Yes, there is no restriction on the number of terms for the office of the Prime Minister in Pakistan.",95,"(50, 51)","(51,)","(51, 52)","(51, 52, 130)","(51, 52, 130, 148)","(51, 52, 130, 148, 50)"
185,Who appoints the Federal Ministers and Ministers of State in Pakistan?,The President appoints the Federal Ministers and Ministers of State on the advice of the Prime Minister.,96,"(51, 52)","(52,)","(52, 51)","(52, 51, 156)","(52, 51, 156, 83)","(52, 51, 156, 83, 148)"
186,"What is the maximum percentage of the total membership of Parliament that the Cabinet, including Ministers of State, can have?","The total strength of the Cabinet, including Ministers of State, shall not exceed eleven percent of the total membership of Parliament.",96,"(51, 52)","(52,)","(52, 50)","(52, 50, 68)","(52, 50, 68, 51)","(52, 50, 68, 51, 69)"
187,Who can the President appoint based on the Prime Minister's advice?,The President can appoint up to five Advisers based on the Prime Minister's advice.,97,"(52, 52)","(52,)","(52, 51)","(52, 51, 22)","(52, 51, 22, 28)","(52, 51, 22, 28, 55)"
188,Can the Prime Minister stay in office after a new one is chosen?,"Yes, the President may ask the Prime Minister to continue to hold office until his successor enters upon the office of Prime Minister.",98,"(52, 52)","(52,)","(52, 51)","(52, 51, 50)","(52, 51, 50, 131)","(52, 51, 50, 131, 158)"
189,How many members of the National Assembly are required to move a vote of no-confidence against the Prime Minister?,Not less than twenty per centum of the total membership of the National Assembly are required to move a vote of no-confidence against the Prime Minister.,99,"(52, 53)","(52,)","(52, 51)","(52, 51, 28)","(52, 51, 28, 50)","(52, 51, 28, 50, 53)"
190,What happens if a vote of no-confidence is passed by a majority in the National Assembly?,"If a vote of no-confidence is passed by a majority of the total membership of the National Assembly, the Prime Minister shall cease to hold office.",99,"(52, 53)","(52,)","(52, 28)","(52, 28, 53)","(52, 28, 53, 51)","(52, 28, 53, 51, 50)"
191,What areas does the federal executive authority cover?,"The federal executive authority covers matters on which the Parliament has the power to make laws, including areas outside Pakistan.",101,"(53, 53)","(53,)","(53, 146)","(53, 146, 90)","(53, 146, 90, 107)","(53, 146, 90, 107, 74)"
192,Can the federal executive authority extend to matters within a province?,"The federal executive authority cannot extend to matters within a province if the Provincial Assembly also has the power to make laws on those matters, unless expressly provided in the Constitution or by a law made by Parliament.",101,"(53, 53)","(75,)","(75, 74)","(75, 74, 87)","(75, 74, 87, 136)","(75, 74, 87, 136, 90)"
193,Who can recommend conferring functions upon officers or authorities subordinate to the Federal Government?,The Federal Government can recommend conferring functions upon officers or authorities subordinate to the Federal Government.,102,"(53, 53)","(53,)","(53, 75)","(53, 75, 107)","(53, 75, 107, 74)","(53, 75, 107, 74, 54)"
194,In whose name are all executive actions of the Federal Government taken?,All executive actions of the Federal Government are taken in the name of the President.,103,"(53, 54)","(53,)","(53, 90)","(53, 90, 87)","(53, 90, 87, 54)","(53, 90, 87, 54, 78)"
195,Can the validity of an order or instrument made in the President's name be questioned in court?,"No, the validity of any order or instrument made in the President's name cannot be questioned in any court on the ground that it was not made or executed by the President.",103,"(53, 54)","(53,)","(53, 142)","(53, 142, 163)","(53, 142, 163, 39)","(53, 142, 163, 39, 22)"
196,Who appoints the Attorney-General for Pakistan?,The President appoints the Attorney-General for Pakistan.,104,"(54, 54)","(54,)","(54, 93)","(54, 93, 172)","(54, 93, 172, 107)","(54, 93, 172, 107, 88)"
197,Can the Attorney-General for Pakistan engage in private practice while holding office?,"No, the Attorney-General for Pakistan shall not engage in private practice so long as he holds the office.",104,"(54, 54)","(54,)","(54, 93)","(54, 93, 172)","(54, 93, 172, 71)","(54, 93, 172, 71, 88)"
198,Who appoints the Governor for each Province in Pakistan?,The Governor for each Province is appointed by the President on the advice of the Prime Minister.,105,"(55, 55)","(55,)","(55, 71)","(55, 71, 172)","(55, 71, 172, 57)","(55, 71, 172, 57, 56)"
199,What are the qualifications required for a person to be appointed as a Governor?,"A person must be qualified to be elected as a member of the National Assembly, be at least thirty-five years old, and be a registered voter and resident of the concerned Province.",105,"(55, 55)","(55,)","(55, 71)","(55, 71, 56)","(55, 71, 56, 102)","(55, 71, 56, 102, 129)"
200,Who does the Governor take an oath in front of before starting their duties?,The Governor takes an oath in front of the Chief Justice of the High Court.,106,"(55, 55)","(55,)","(55, 173)","(55, 173, 20)","(55, 173, 20, 168)","(55, 173, 20, 168, 103)"
201,Can the Governor of a province in Pakistan hold another job that pays for services rendered?,"No, the Governor shall not hold any office of profit in the service of Pakistan or occupy any other position carrying the right to remuneration for the rendering of services.",107,"(56, 56)","(56,)","(56, 172)","(56, 172, 150)","(56, 172, 150, 55)","(56, 172, 150, 55, 156)"
202,Is it possible for a sitting member of Parliament or a Provincial Assembly to become a Governor without losing their seat?,"No, if a member of Parliament or a Provincial Assembly is appointed as Governor, their seat in Parliament or the Provincial Assembly shall become vacant on the day they enter upon their office.",107,"(56, 56)","(56,)","(56, 150)","(56, 150, 134)","(56, 150, 134, 172)","(56, 150, 134, 172, 37)"
203,Who takes over the Governor's duties if the Governor is not in Pakistan?,The Speaker of the Provincial Assembly takes over the Governor's duties if the Governor is not in Pakistan.,108,"(56, 56)","(56,)","(56, 172)","(56, 172, 55)","(56, 172, 55, 59)","(56, 172, 55, 59, 148)"
204,What happens if the Speaker of the Provincial Assembly is also unavailable to perform the Governor's functions?,"If the Speaker of the Provincial Assembly is unavailable, any other person nominated by the President will perform the Governor's functions.",108,"(56, 56)","(56,)","(56, 150)","(56, 150, 68)","(56, 150, 68, 156)","(56, 150, 68, 156, 172)"
205,Who does the Governor need to follow advice from when performing his duties?,The Governor needs to follow the advice of the Cabinet or the Chief Minister.,109,"(56, 57)","(56,)","(56, 71)","(56, 71, 68)","(56, 71, 68, 54)","(56, 71, 68, 54, 55)"
206,Can the Governor ask for reconsideration of the advice given to him?,"Yes, the Governor can ask the Cabinet or the Chief Minister to reconsider the advice within fifteen days, and then he must act in accordance with the advice given after reconsideration within ten days.",109,"(56, 57)","(56,)","(56, 22)","(56, 22, 135)","(56, 22, 135, 69)","(56, 22, 135, 69, 134)"
207,Is it possible for a court to investigate the advice given to the Governor by the Chief Minister or the Cabinet?,"No, it is not possible for any court, tribunal, or other authority to inquire into the advice given to the Governor by the Chief Minister or the Cabinet.",109,"(56, 57)","(56,)","(56, 68)","(56, 68, 69)","(56, 68, 69, 70)","(56, 68, 69, 70, 59)"
208,Who is eligible to vote in the elections for a Provincial Assembly in Pakistan?,"A person is eligible to vote if they are a citizen of Pakistan, at least eighteen years old, their name appears on the electoral roll for any area in the Province, and they are not declared by a competent court to be of unsound mind.",110,"(57, 58)","(58,)","(58, 130)","(58, 130, 29)","(58, 130, 29, 128)","(58, 130, 29, 128, 68)"
209,How are the general seats in a Provincial Assembly filled?,The general seats in a Provincial Assembly are filled by direct and free vote in single member territorial constituencies.,110,"(57, 58)","(57,)","(57, 29)","(57, 29, 130)","(57, 29, 130, 58)","(57, 29, 130, 58, 128)"
210,How are the seats reserved for women and non-Muslims allocated in a Provincial Assembly?,"The seats reserved for women and non-Muslims are allocated to each Province as a single constituency and are filled through a proportional representation system based on political parties' lists of candidates, according to the total number of general seats secured by each political party in the Provincial Assembly.",110,"(57, 58)","(57,)","(57, 58)","(57, 58, 130)","(57, 58, 130, 24)","(57, 58, 130, 24, 25)"
211,How long does a Provincial Assembly last before it is dissolved?,A Provincial Assembly continues for a term of five years from the day of its first meeting and stands dissolved at the expiration of its term.,111,"(58, 58)","(58,)","(58, 59)","(58, 59, 57)","(58, 59, 57, 129)","(58, 59, 57, 129, 130)"
212,When does a Provincial Assembly elect a Speaker and a Deputy Speaker?,A Provincial Assembly elects a Speaker and a Deputy Speaker at its first meeting after a general election.,112,"(58, 58)","(63,)","(63, 68)","(63, 68, 58)","(63, 68, 58, 25)","(63, 68, 58, 25, 149)"
213,What happens if the position of Speaker or Deputy Speaker becomes vacant?,"If the position of Speaker or Deputy Speaker becomes vacant, the Assembly shall elect another member to fill the position.",112,"(58, 58)","(26,)","(26, 58)","(26, 58, 25)","(26, 58, 25, 68)","(26, 58, 25, 68, 50)"
214,Who has the authority to call and end sessions of the Provincial Assembly?,The Governor has the authority to summon and prorogue the Provincial Assembly.,113,"(59, 59)","(67,)","(67, 37)","(67, 37, 69)","(67, 37, 69, 59)","(67, 37, 69, 59, 68)"
215,Can the Governor speak to the Provincial Assembly?,"Yes, the Governor may address the Provincial Assembly.",114,"(59, 59)","(69,)","(69, 59)","(69, 59, 56)","(69, 59, 56, 67)","(69, 59, 56, 67, 63)"
216,Is the Governor allowed to request the presence of Provincial Assembly members?,"Yes, the Governor may require the attendance of the members for addressing the Provincial Assembly.",114,"(59, 59)","(69,)","(69, 56)","(69, 56, 59)","(69, 56, 59, 61)","(69, 56, 59, 61, 62)"
217,Can the Advocate-General participate in the discussions of the Provincial Assembly?,"Yes, the Advocate-General can speak and take part in the proceedings of the Provincial Assembly or any committee thereof.",115,"(59, 59)","(71,)","(71, 59)","(71, 59, 156)","(71, 59, 156, 172)","(71, 59, 156, 172, 37)"
218,Is the Advocate-General allowed to vote in the Provincial Assembly?,"No, the Advocate-General is not entitled to vote by virtue of this Article.",115,"(59, 59)","(172,)","(172, 59)","(172, 59, 71)","(172, 59, 71, 37)","(172, 59, 71, 37, 156)"
219,Who has the authority to dissolve the Provincial Assembly on the advice of the Chief Minister?,The Governor has the authority to dissolve the Provincial Assembly if advised by the Chief Minister.,116,"(59, 59)","(59,)","(59, 70)","(59, 70, 69)","(59, 70, 69, 68)","(59, 70, 69, 68, 172)"
220,Under what condition can the Governor dissolve the Provincial Assembly at his discretion?,"The Governor can dissolve the Provincial Assembly at his discretion, with the previous approval of the President, if a vote of no-confidence has been passed against the Chief Minister and no other member commands the confidence of the majority of the members of the Provincial Assembly.",116,"(59, 59)","(59,)","(59, 57)","(59, 57, 56)","(59, 57, 56, 69)","(59, 57, 56, 69, 129)"
221,Do the same rules for being a member of the National Assembly apply to the Provincial Assembly?,"Yes, the qualifications and disqualifications for membership of the National Assembly also apply to the Provincial Assembly.",117,"(60, 60)","(37,)","(37, 128)","(37, 128, 60)","(37, 128, 60, 135)","(37, 128, 60, 135, 130)"
222,What articles of the constitution are referenced for the qualifications and disqualifications of Provincial Assembly members?,Articles 62 and 63 are referenced for the qualifications and disqualifications of Provincial Assembly members.,117,"(60, 60)","(170,)","(170, 60)","(170, 60, 19)","(170, 60, 19, 128)","(170, 60, 19, 128, 68)"
223,Can members of a Provincial Assembly discuss the actions of a Supreme Court or High Court judge while they are performing their duties?,"No, members of a Provincial Assembly cannot discuss the conduct of any Judge of the Supreme Court or of a High Court in the discharge of his duties.",118,"(60, 60)","(60,)","(60, 155)","(60, 155, 120)","(60, 155, 120, 93)","(60, 155, 120, 93, 117)"
224,Who needs to give consent for financial measures involving provincial funds to be introduced in the Provincial Assembly?,The Provincial Government needs to give consent for financial measures involving provincial funds to be introduced in the Provincial Assembly.,119,"(60, 62)","(60,)","(60, 62)","(60, 62, 65)","(60, 62, 65, 74)","(60, 62, 65, 74, 63)"
225,What types of provisions make a Bill be considered a Money Bill?,"A Bill is considered a Money Bill if it contains provisions dealing with the imposition, abolition, remission, alteration, or regulation of any tax; borrowing of money or giving guarantees by the Provincial Government; custody and issue of money from the Provincial Consolidated Fund; imposition or alteration of charges on the Provincial Consolidated Fund; receipt and custody of money in the Public Account of the Province; and any matter incidental to these.",119,"(60, 62)","(41,)","(41, 61)","(41, 61, 60)","(41, 61, 60, 42)","(41, 61, 60, 42, 40)"
226,Who has the final decision on whether a Bill is a Money Bill or not?,The Speaker of the Provincial Assembly has the final decision on whether a Bill is a Money Bill or not.,119,"(60, 62)","(61,)","(61, 41)","(61, 41, 42)","(61, 41, 42, 60)","(61, 41, 42, 60, 40)"
227,What happens if the Governor does not give assent to a Bill within ten days?,"If the Governor does not give assent to a Bill within ten days, the assent shall be deemed to have been given.",120,"(62, 63)","(61,)","(61, 62)","(61, 62, 42)","(61, 62, 42, 39)","(61, 62, 42, 39, 143)"
228,Can the Governor return a Money Bill to the Provincial Assembly for reconsideration?,"No, the Governor cannot return a Money Bill to the Provincial Assembly for reconsideration.",120,"(62, 63)","(61,)","(61, 62)","(61, 62, 63)","(61, 62, 63, 60)","(61, 62, 63, 60, 56)"
229,What is the next step if the Provincial Assembly passes a Bill again after the Governor has returned it for reconsideration?,"If the Provincial Assembly passes the Bill again, with or without amendment, it shall be presented to the Governor again, and the Governor must give assent within ten days, failing which the assent shall be deemed to have been given.",120,"(62, 63)","(61,)","(61, 62)","(61, 62, 67)","(61, 62, 67, 135)","(61, 62, 67, 135, 59)"
230,What happens to a Bill in a Provincial Assembly if the Assembly is prorogued?,A Bill pending in a Provincial Assembly shall not lapse by reason of the prorogation of the Assembly.,121,"(63, 63)","(62,)","(62, 61)","(62, 61, 59)","(62, 61, 59, 60)","(62, 61, 59, 60, 65)"
231,What happens to a Bill in a Provincial Assembly if the Assembly is dissolved?,A Bill pending in a Provincial Assembly shall lapse on the dissolution of the Assembly.,121,"(63, 63)","(62,)","(62, 61)","(62, 61, 65)","(62, 61, 65, 129)","(62, 61, 65, 129, 59)"
232,What happens to the revenues and loans received by the Provincial Government?,"All revenues received by the Provincial Government, all loans raised by that Government, and all moneys received by it in repayment of any loan, shall form part of a consolidated fund, known as the Provincial Consolidated Fund.",122,"(63, 63)","(62,)","(62, 83)","(62, 83, 87)","(62, 83, 87, 63)","(62, 83, 87, 63, 84)"
233,"Where are the moneys received by or on behalf of the Provincial Government, or deposited with the courts, credited?",They shall be credited to the Public Account of the Province.,122,"(63, 63)","(62,)","(62, 60)","(62, 60, 63)","(62, 60, 63, 43)","(62, 60, 63, 43, 87)"
234,Who regulates the management of the Provincial Consolidated Fund and Public Account if no specific law is made by the Provincial Assembly?,"If no specific law is made by the Provincial Assembly, the management of the Provincial Consolidated Fund and Public Account is regulated by rules made by the Governor.",123,"(64, 64)","(63,)","(63, 62)","(63, 62, 60)","(63, 62, 60, 65)","(63, 62, 60, 65, 64)"
235,What does the Provincial Assembly regulate concerning the Provincial Consolidated Fund and Public Account?,"The Provincial Assembly regulates the custody, payment into, and withdrawal of moneys from the Provincial Consolidated Fund and Public Account, as well as all matters connected with or ancillary to these activities.",123,"(64, 64)","(62,)","(62, 63)","(62, 63, 60)","(62, 63, 60, 43)","(62, 63, 60, 43, 65)"
236,Who is responsible for presenting the budget to the Provincial Assembly each year?,The Provincial Government is responsible for presenting the budget to the Provincial Assembly each year.,124,"(64, 64)","(63,)","(63, 64)","(63, 64, 65)","(63, 64, 65, 61)","(63, 64, 65, 61, 62)"
237,What two types of expenditure must be shown separately in the Annual Budget Statement?,The Annual Budget Statement must show separately the sums required to meet expenditure charged upon the Provincial Consolidated Fund and the sums required to meet other expenditure proposed to be made from the Provincial Consolidated Fund.,124,"(64, 64)","(44,)","(44, 63)","(44, 63, 64)","(44, 63, 64, 45)","(44, 63, 64, 45, 46)"
238,Who receives remuneration that is charged upon the Provincial Consolidated Fund?,"The remuneration payable to the Governor, the Judges of the High Court, the Speaker and Deputy Speaker of the Provincial Assembly, and the officers and servants of the High Court and the Secretariat of the Provincial Assembly is charged upon the Provincial Consolidated Fund.",125,"(64, 65)","(63,)","(63, 64)","(63, 64, 62)","(63, 64, 62, 60)","(63, 64, 62, 60, 65)"
239,What types of debt-related expenses are charged upon the Provincial Consolidated Fund?,"All debt charges for which the Provincial Government is liable, including interest, sinking fund charges, the repayment or amortisation of capital, and other expenditure in connection with the raising of loans, and the service and redemption of debt on the security of the Provincial Consolidated Fund are charged upon the Provincial Consolidated Fund.",125,"(64, 65)","(64,)","(64, 63)","(64, 63, 65)","(64, 63, 65, 62)","(64, 63, 65, 62, 60)"
240,Can the Provincial Assembly vote on the expenditure charged upon the Provincial Consolidated Fund?,"No, the expenditure charged upon the Provincial Consolidated Fund may be discussed in the Provincial Assembly but shall not be submitted to the vote of the Provincial Assembly.",126,"(65, 65)","(64,)","(64, 63)","(64, 63, 65)","(64, 63, 65, 66)","(64, 63, 65, 66, 62)"
241,Who must recommend a demand for a grant before it can be made?,A demand for a grant shall be made only on the recommendation of the Provincial Government.,126,"(65, 65)","(64,)","(64, 46)","(64, 46, 45)","(64, 46, 45, 53)","(64, 46, 45, 53, 84)"
242,Who is responsible for authenticating the schedule of authorized expenditure?,The Chief Minister is responsible for authenticating the schedule of authorized expenditure.,127,"(65, 66)","(64,)","(64, 46)","(64, 46, 173)","(64, 46, 173, 65)","(64, 46, 173, 65, 47)"
243,Can the Provincial Assembly discuss or vote on the authenticated schedule of authorized expenditure?,"No, the authenticated schedule of authorized expenditure shall be laid before the Provincial Assembly but shall not be open to discussion or vote.",127,"(65, 66)","(64,)","(64, 65)","(64, 65, 46)","(64, 65, 46, 173)","(64, 65, 46, 173, 66)"
244,What happens if the allocated budget for a service is not enough during a financial year?,"If the allocated budget for a service is not enough during a financial year, the Provincial Government can authorize additional expenditure from the Provincial Consolidated Fund and present a Supplementary Budget Statement to the Provincial Assembly.",128,"(66, 66)","(46,)","(46, 65)","(46, 65, 47)","(46, 65, 47, 66)","(46, 65, 47, 66, 173)"
245,What must the Provincial Government do if money is spent beyond the approved budget for a service?,"If money is spent beyond the approved budget for a service, the Provincial Government must authorize the excess expenditure from the Provincial Consolidated Fund and present an Excess Budget Statement to the Provincial Assembly.",128,"(66, 66)","(65,)","(65, 46)","(65, 46, 86)","(65, 46, 86, 64)","(65, 46, 86, 64, 66)"
246,Can the Provincial Assembly approve funds before the full financial procedure is completed?,"Yes, the Provincial Assembly can approve funds in advance for up to three months before the full financial procedure is completed.",129,"(66, 66)","(62,)","(62, 65)","(62, 65, 43)","(62, 65, 43, 135)","(62, 65, 43, 135, 47)"
247,What is the maximum duration for which the Provincial Assembly can grant funds in advance?,The maximum duration for which the Provincial Assembly can grant funds in advance is three months.,129,"(66, 66)","(65,)","(65, 64)","(65, 64, 86)","(65, 64, 86, 66)","(65, 64, 86, 66, 84)"
248,Can the provincial government authorize spending if the Provincial Assembly is not in session?,"Yes, the provincial government can authorize spending from the Provincial Consolidated Fund for up to four months if the Provincial Assembly is dissolved.",130,"(66, 67)","(65,)","(65, 66)","(65, 66, 71)","(65, 66, 71, 67)","(65, 66, 71, 67, 64)"
249,What is the maximum period for which the provincial government can authorize expenditure when the assembly is dissolved?,The provincial government can authorize expenditure for a period not exceeding four months in any financial year when the assembly is dissolved.,130,"(66, 67)","(65,)","(65, 66)","(65, 66, 62)","(65, 66, 62, 47)","(65, 66, 62, 47, 151)"
250,"Who does the term ""President"" refer to in the context of a Provincial Assembly?","In the context of a Provincial Assembly, the term ""President"" refers to the Governor of the Province.",131,"(67, 67)","(20,)","(20, 57)","(20, 57, 19)","(20, 57, 19, 149)","(20, 57, 19, 149, 74)"
251,"How should references to the ""Prime Minister"" be interpreted when applied to a Provincial Assembly?","References to the ""Prime Minister"" should be interpreted as referring to the Chief Minister when applied to a Provincial Assembly.",131,"(67, 67)","(66,)","(66, 132)","(66, 132, 131)","(66, 132, 131, 130)","(66, 132, 131, 130, 69)"
252,When can the Governor issue an Ordinance?,The Governor can issue an Ordinance when the Provincial Assembly is not in session and if satisfied that circumstances exist which render it necessary to take immediate action.,132,"(68, 68)","(67,)","(67, 48)","(67, 48, 139)","(67, 48, 139, 49)","(67, 48, 139, 49, 160)"
253,How long does an Ordinance remain in effect if not extended or disapproved by the Provincial Assembly?,An Ordinance remains in effect for ninety days from its promulgation unless extended by the Provincial Assembly for a further period of ninety days or disapproved by the Assembly before the expiration of that period.,132,"(68, 68)","(67,)","(67, 140)","(67, 140, 137)","(67, 140, 137, 160)","(67, 140, 137, 160, 69)"
254,Who exercises the executive authority of a Province in Pakistan?,"The executive authority of a Province is exercised in the name of the Governor by the Provincial Government, consisting of the Chief Minister and Provincial Ministers.",133,"(68, 69)","(75,)","(75, 67)","(75, 67, 90)","(75, 67, 90, 76)","(75, 67, 90, 76, 70)"
