context_eng,context_urdu,predicted_urdu_IndicTrans2
"Subject-matter of Federal and Provincial laws

Subject to the Constitution—
1[Majlis-e-Shoora (Parliament)] shall have exclusive power to make laws with respect to any matter in the Federal Legislative List;
2[(b) Majlis-e-Shoora (Parliament) and a Provincial Assembly shall have power to make laws with respect to criminal law, criminal procedure and evidence;]
3[(c) Subject to paragraph (b), a Provincial Assembly shall, and Majlis-e-Shoora (Parliament) shall not, have power to make laws with respect to any matter not enumerated in the Federal Legislative List;]
4[(d) Majlis-e-Shoora (Parliament) shall have exclusive power to make laws with respect to all matters pertaining to such areas in the Federation as are not included in any Province].","۲۴۱۔ دستور کے تابع وفاقی اور صوبائی قوانین کے موضوعات

الف) مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل کسی امر کے بارے میں قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا۔

ب) مجلس شوریٰ (پارلیمنٹ) اور کسی صوبائی اسمبلی کو بھی فوجداری قانون، ضابطہ فوجداری اور شہادت کے بارے میں قوانین وضع کرنے کا اختیار ہوگا۔

ج) پیرا (ب) کے مطابق کسی ایسے امر کے بارے میں جو وفاقی قانون سازی کی فہرست میں شامل نہیں ہے، قوانین بنانے کا اختیار صوبائی اسمبلی کو ہوگا اور مجلس شوریٰ (پارلیمنٹ) کو نہیں ہوگا۔

د) مجلس شوریٰ (پارلیمنٹ) کو تمام امور کے بارے میں وفاق کے ایسے علاقوں کے لیے قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا جو کسی صوبے میں شامل نہیں ہیں۔",آئین کے تابع وفاقی اور صوبائی قوانین کا موضوع-1 [مجلس شوری (پارلیمنٹ)] کو وفاقی قانون ساز فہرست کے کسی بھی معاملے کے حوالے سے قوانین بنانے کا خصوصی اختیار ہوگا۔ 2 [(ب) مجلس شوری (پارلیمنٹ) اور صوبائی اسمبلی کو فوجداری قانون، فوجداری طریقہ کار اور شواہد کے حوالے سے قوانین بنانے کا اختیار ہوگا۔] 3 [(ج) پیراگراف (بی) کے تابع، صوبائی اسمبلی، اور مجلس شوری (پارلیمنٹ) کو وفاقی قانون ساز فہرست میں درج نہ ہونے والے کسی بھی معاملے کے حوالے سے قوانین بنانے کا اختیار نہیں ہوگا۔] 4 [(د) مجلس شوری (پارلیمنٹ) کو ایسے تمام معاملات کے حوالے سے قوانین بنانے کا خصوصی اختیار ہوگا جو فیڈریشن کے کسی بھی صوبے میں شامل نہیں ہیں۔ 
"Power of the Provinces to entrust functions to the Federation

Notwithstanding anything contained in the Constitution, the Government of a Province may, with the consent of the Federal Government, entrust, either conditionally or unconditionally, to the Federal Government, or to its officers, functions in relation to any matter to which the executive authority of the Province extends 1[:]

2[Provided that the Provincial Government shall get the functions so entrusted ratified by the Provincial Assembly within sixty days.]","آرٹیکل 147: صوبوں کا وفاق کو کارہائے منصبی سپرد کرنے کا اختیار

آئین میں کسی بھی چیز کے باوجود، صوبے کی حکومت وفاقی حکومت کی رضامندی سے، کسی ایسے معاملے سے متعلق، جو صوبے کے عاملانہ اختیار کے دائرے میں آتا ہو، کارہائے منصبی، یا تو مشروط یا غیر مشروط طور پر، وفاقی حکومت یا اس کے عہدیداروں کے سپرد کر سکتی ہے:

مگر شرط یہ ہے کہ صوبائی حکومت کارہائے منصبی کو حاصل کرے گی جو اس طرح سپرد کیے گئے جن کی صوبائی اسمبلی ساٹھ دنوں میں توثیق کرے گی۔",وفاق کو فرائض سونپنے کا صوبوں کا اختیار آئین میں کسی بات کے باوجود، کسی صوبے کی حکومت، وفاقی حکومت کی رضامندی سے، مشروط یا غیر مشروط طور پر، وفاقی حکومت، یا اس کے افسران کو، کسی ایسے معاملے کے سلسلے میں کام سونپ سکتی ہے جس میں صوبے کا ایگزیکٹو اتھارٹی توسیع کرتا ہے [:] 2 [بشرطیکہ صوبائی حکومت ساٹھ دن کے اندر صوبائی اسمبلی کے ذریعے اس طرح تفویض کردہ کاموں کی توثیق کر لے۔] 
"Provision relating to the State of Jammu and Kashmir

When the people of the State of Jammu and Kashmir decide to accede to Pakistan, the relationship between Pakistan and that State shall be determined in accordance with the wishes of the people of that State.",جب ریاست جموں و کشمیر کے عوام پاکستان میں شامل ہونے کا فیصلہ کریں، تو پاکستان اور مذکورہ ریاست جموں و کشمیر کے درمیان تعلقات مذکورہ ریاست کے عوام کی خواہشات کے مطابق متعین ہوں گے۔,ریاست جموں و کشمیر سے متعلق شق جب ریاست جموں و کشمیر کے عوام پاکستان میں شامل ہونے کا فیصلہ کرتے ہیں تو پاکستان اور اس ریاست کے درمیان تعلقات کا تعین اس ریاست کے عوام کی خواہشات کے مطابق کیا جائے گا۔ 
"Extent of executive authority of Federation

Subject to the Constitution, the executive authority of the federation shall extend to the matters with respect to which 1[Majlis-e- Shoora (Parliament)] has power to make laws, including exercise of rights, authority and jurisdiction in and in relation to areas outside Pakistan :

Provided that the said authority shall not, save as expressly provided in the Constitution or in any law made by 1[Majlis-e-Shoora (Parliament)], extend in any Province to a matter with respect to which the Provincial Assembly has also power to make laws.","
وفاق کے عاملانہ اختیار

دستور کے تابع، وفاق کا عاملانہ اختیار ان امور پر حاوی ہوگا جن کے بارے میں مجلس شوریٰ (پارلیمنٹ) کو قوانین وضع کرنے کا اختیار ہے، جس میں پاکستان میں اور اس سے باہر کے علاقوں کے متعلق حقوق، اقتدار اور دائرہ اختیار کو بروئے کار لانا شامل ہے:

مگر شرط یہ ہے کہ مذکورہ اقتدار، ماسواۓ جیسا کہ دستور میں یا مجلس شوریٰ (پارلیمنٹ) کے وضع کردہ کسی قانون میں بالصرات موجود ہو، کسی صوبے میں کسی ایسے امر پر حاوی نہیں ہوگا جس کے بارے میں صوبائی اسمبلی کو بھی قوانین وضع کرنے کا اختیار ہو۔
",وفاق کے انتظامی اختیار کی حد آئین کے تابع، وفاق کے انتظامی اختیار کی توسیع ان معاملات تک ہوگی جن کے سلسلے میں مجلس شوری (پارلیمنٹ) کو قوانین بنانے کا اختیار حاصل ہے، بشمول پاکستان سے باہر کے علاقوں میں اور ان کے سلسلے میں حقوق، اختیار اور دائرہ اختیار کا استعمال: بشرطیکہ مذکورہ اختیار، آئین میں یا مجلس شوری (پارلیمنٹ) کے ذریعے بنائے گئے کسی قانون میں واضح طور پر فراہم کردہ کے علاوہ، کسی بھی صوبے میں کسی ایسے معاملے تک نہیں بڑھے گا جس کے حوالے سے صوبائی اسمبلی کو بھی قانون بنانے کا اختیار حاصل ہو۔ 
"Provisions relating to the Holy Quran and Sunnah

(1) All existing laws shall be brought in conformity with the Injunctions of Islam as laid down in the Holy Quran and Sunnah, in this part referred to as the Injunctions of Islam, and no law shall be enacted which is repugnant to such Injunctions.

1[Explanation.—In the application of this clause to the personal law of any Muslim sect, the expression ""Quran and Sunnah"" shall mean the Quran and Sunnah as interpreted by the sect.]
Effect shall be given to the provisions of clause (1) only in the manner provided in this Part.
Nothing in this Part shall affect the personal laws of non- Muslim citizens or their status as citizens.","۷۲۲۔ تمام موجودہ قوانین کو قرآن پاک اور سنت کے احکام کے مطابق بنایا جائے گا، جن کا اس حصے میں بطور اسلامی احکام حوالہ دیا گیا ہے، اور ایسا کوئی قانون وضع نہیں کیا جائے گا جو مذکورہ احکام کے منافی ہو۔

تشریح: کسی مسلم فرقے کے قانون شخصی پر اس شق کا اطلاق کرتے ہوئے، عبارت ""قرآن و سنت"" سے مراد مذکورہ فرقے کی کی ہوئی تفسیر کے مطابق قرآن اور سنت ہوگی۔

شق ۱ کے احکام کو صرف اس طریقے کے مطابق نافذ کیا جائے گا جو اس حصے میں منضبط ہے۔

اس حصے میں کسی امر کا غیر مسلم شہریوں کے قوانین شخصی یا شہریوں کی بطور ان کی حیثیت پر اثر نہیں پڑے گا۔","قرآن پاک اور سنت سے متعلق دفعات (1) تمام موجودہ قوانین کو قرآن پاک اور سنت میں مذکور اسلام کے احکام کے مطابق لایا جائے گا، جس کا حوالہ اس حصے میں اسلام کے احکام کے طور پر دیا گیا ہے، اور ایسا کوئی قانون نافذ نہیں کیا جائے گا جو اس طرح کے احکامات سے متصادم ہو۔ 1 [وضاحت۔-اس شق کو کسی بھی مسلم فرقے کے ذاتی قانون پر لاگو کرنے میں، ""قرآن اور سنت"" کے اظہار کا مطلب قرآن اور سنت ہوگا جیسا کہ فرقے کی طرف سے تشریح کی گئی ہے۔] شق (1) کی دفعات کو صرف اس حصے میں فراہم کردہ طریقے سے اثر دیا جائے گا۔ اس حصے میں کچھ بھی غیر مسلم شہریوں کے ذاتی قوانین یا شہریوں کی حیثیت کو متاثر نہیں کرے گا۔ "
"Power of Council to enforce attendance of persons, etc.

(1)     For the purpose of inquiring into any matter, the Council shall have the same power as the Supreme Court has to issue directions or orders for securing the attendance of any person or the discovery or production of any document; and any such direction or order shall be enforceable as if it had been issued by the Supreme Court.

1 Subs. by the Constitution (Eighteenth Amdt.) Act, 2010 (10 of 2010), s. 76, for “clause (5)”.


(2)   The provisions of Article 204 shall apply to the Council as they apply to the Supreme Court and a High Court.","کونسل کا اشخاص وغیرہ

(1) کسی معاملے کی تحقیقات کی غرض کے لیے، کونسل کو وہی اختیارات حاصل ہوں گے جو عدالت عظمیٰ کو کسی شخص کو حاضر عدالت کرانے کے لیے یا کسی دستاویز کی برآمدگی یا اس کو پیش کرنے کے لیے ہدایات یا احکام جاری کرنے کے لیے حاصل ہیں؛ اور کوئی ایسی ہدایت یا حکم اس طرح قابل نفاذ ہوگا گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوا ہو۔

(2) آرٹیکل 204 کے احکام کا اطلاق کونسل پر اس طرح ہوگا جس طرح ان کا اطلاق عدالت عظمیٰ یا کسی عدالت عالیہ پر ہوتا ہے۔","کونسل کا افراد کی حاضری وغیرہ کو نافذ کرنے کا اختیار۔ (1) کسی معاملے کی تفتیش کے مقصد سے کونسل کو وہی اختیار حاصل ہوگا جو سپریم کورٹ کو کسی شخص کی حاضری کو یقینی بنانے یا کسی دستاویز کی دریافت یا پیش کرنے کے لیے ہدایات یا احکامات جاری کرنے کا ہے۔ اور ایسی کوئی ہدایت یا حکم اس طرح نافذ العمل ہوگا جیسے وہ سپریم کورٹ نے جاری کیا ہو۔ 1 ذیلی۔ آئین (اٹھارہویں ترمیم) ایکٹ، 2010 (2010 کا 10) کی دفعہ 76 کے ذریعے ""شق (5)"" کے لیے۔ (2) آرٹیکل 204 کی دفعات کونسل پر اسی طرح لاگو ہوں گی جیسے وہ سپریم کورٹ اور ہائی کورٹ پر لاگو ہوتے ہیں۔ "
"Custody, etc., of Federal Consolidated Fund and Public Account

The custody of the Federal Consolidated Fund, the payment of moneys into that Fund, the withdrawal of moneys therefrom, the custody of other moneys received by or on behalf of the Federal Government, their payment into, and withdrawal from, the Public Account of the Federation, and all matters connected with or ancillary to the matters aforesaid shall be regulated by Act of 1[Majlis-e-Shoora (Parliament)] or, until provision in that behalf is so made, by rules made by the President.","وفاقی مجموعی فنڈ کی تحویل، اس فنڈ میں رقوم کی ادائیگی، اس سے رقوم کی بازخواست، وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ دیگر رقوم کی تحویل، وفاق کے سرکاری حساب میں ان کی ادائیگی اور بازخواست، اور مذکورہ بالا امور سے متعلق یا ضمنی جملہ امور مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا، اس بارے میں اس طرح احکام وضع ہونے تک، صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔

احیائے دستور 1973ء کا فرمان، 1995ء فرمان صدر نمبر 14 مجریہ 1981ء کے آرٹیکل 1 اور جدول کی رد سے پارلیمنٹ کی بجائے تبدیل کئے گئے۔

اسلامی جمہوریہ پاکستان کا دستور",فیڈرل کنسولیڈیٹڈ فنڈ اور پبلک اکاؤنٹ کی تحویل وغیرہ فیڈرل کنسولیڈیٹڈ فنڈ کی تحویل، اس فنڈ میں پیسوں کی ادائیگی، اس سے پیسوں کی واپسی، وفاقی حکومت کی طرف سے یا اس کی طرف سے موصول ہونے والی دیگر پیسوں کی تحویل، فیڈریشن کے پبلک اکاؤنٹ میں ان کی ادائیگی اور ان سے رقم نکلوانا، اور مذکورہ بالا معاملات سے متعلق یا اس سے منسلک تمام معاملات کو ایکٹ 1 [مجلس شوری (پارلیمنٹ)] کے ذریعے یا اس حوالے سے اس طرح کی فراہمی ہونے تک صدر کے بنائے ہوئے قواعد کے ذریعے منظم کیا جائے گا۔ 
"Participation of people in Armed Forces

The State shall enable people from all parts of Pakistan to participate in the Armed Forces of Pakistan.",۹۳۔ مملکت پاکستان کے تمام علاقوں کے لوگوں کو پاکستان کی مسلح افواج میں شرکت کے قابل بنائے گی۔,مسلح افواج میں لوگوں کی شرکت ریاست پاکستان کے تمام حصوں کے لوگوں کو پاکستان کی مسلح افواج میں حصہ لینے کے قابل بنائے گی۔ 
"Power of Auditor-General to give directions as to accounts

4[(1)] The accounts of the Federation and of the Provinces shall be kept in such form and in accordance with such principles and methods as the Auditor-General may, with the approval of the President, prescribe.

4[(2) The audit of the accounts of the Federal and of the Provincial Governments and the accounts of any authority or body established by, or under the control of, the Federal or a Provincial Government shall be conducted by the Auditor-General, who shall determine the extent and nature of such audit.]","۱۔ وفاق اور صوبوں کے حسابات، ایسی شکل میں اور ایسے اصولوں اور طریقوں کے مطابق رکھے جائیں گے جنہیں محاسب اعلیٰ، صدر کی منظوری سے، مقرر کرے۔

۲۔ وفاقی اور صوبائی حکومتوں کے حسابات اور کسی بھی بنیت مجاز یا جماعت جو کہ وفاقی یا صوبائی حکومت کی جانب سے قائم کی گئی یا اس پر نگرانی ہو، کے حسابات کا محاسبہ محاسب اعلیٰ انجام دے گا، جو کہ مذکورہ محاسبہ کی وسعت اور نوعیت کا تعین کرے گا۔",اکاؤنٹس کے حوالے سے ہدایات دینے کا آڈیٹر جنرل کا اختیار 4 [(1) فیڈریشن اور صوبوں کے اکاؤنٹس کو اس طرح کے اصولوں اور طریقوں کے مطابق رکھا جائے گا جو آڈیٹر جنرل صدر کی منظوری سے مقرر کرے۔ 4 [(2) وفاقی اور صوبائی حکومتوں کے اکاؤنٹس اور وفاقی یا صوبائی حکومت کے زیر انتظام قائم کردہ کسی اتھارٹی یا ادارے کے اکاؤنٹس کا آڈٹ آڈیٹر جنرل کے ذریعے کیا جائے گا، جو اس طرح کے آڈٹ کی حد اور نوعیت کا تعین کرے گا۔] 
"Bill not to lapse on prorogation, etc.

(1)     A Bill pending in either House shall not lapse by reason of the prorogation of the House.

A Bill pending in the Senate which has not been passed by the National Assembly shall not lapse on the dissolution of the National Assembly.

A Bill pending in the National Assembly, or a Bill which having been passed by the National Assembly is pending in the Senate, shall lapse on the dissolution of the National Assembly.","کسی بھی ایوان میں زیر غور کوئی بل اس ایوان کی برخاستگی کی بناء پر ساقط نہیں ہوگا۔

سینیٹ میں زیر غور کوئی بل جسے قومی اسمبلی نے منظور نہ کیا ہو، قومی اسمبلی کے ٹوٹنے پر ساقط نہیں ہوگا۔

قومی اسمبلی میں زیر غور کوئی بل یا کوئی بل جو قومی اسمبلی سے منظور ہو جانے پر سینیٹ میں زیر غور ہو، قومی اسمبلی کے ٹوٹنے پر ساقط ہو جائے گا۔",(1) کسی بھی ایوان میں زیر التواء کوئی بل ایوان کے ملتوی ہونے کی وجہ سے ختم نہیں ہوگا۔ سینیٹ میں زیر التواء کوئی بل جو قومی اسمبلی کے ذریعے منظور نہیں کیا گیا ہے وہ قومی اسمبلی کے تحلیل ہونے پر ختم نہیں ہوگا۔ قومی اسمبلی میں زیر التواء کوئی بل، یا قومی اسمبلی کے ذریعے منظور کیا گیا کوئی بل جو سینیٹ میں زیر التوا ہے، قومی اسمبلی کے تحلیل ہونے پر ختم ہو جائے گا۔ 
"Reference by 3[Majlis-e-Shoora (Parliament)], etc., to Islamic Council
The President or the Governor of a Province may, or if two-fifths of its total membership so requires, a House or a Provincial Assembly shall, refer to the Islamic Council for advice any question as to whether a proposed law is or is not repugnant to the Injunctions of Islam.","۳[مجلسِ شوریٰ (پارلیمنٹ)] وغیرہ کی اسلامی کونسل کو حوالہ

صدر یا کسی صوبے کا گورنر، یا اگر کسی ایوان یا کسی صوبائی اسمبلی کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے، تو کسی سوال پر اسلامی کونسل سے مشورہ کیا جائے گا کہ آیا کوئی مجوزہ قانون اسلام کے احکام کے منافی ہے یا نہیں۔",3 [مجلس شوری (پارلیمنٹ) وغیرہ کی طرف سے اسلامی کونسل کو حوالہ کسی صوبے کا صدر یا گورنر، یا اگر اس کی کل رکنیت کا دو پانچواں حصہ مطلوب ہو تو، کوئی ایوان یا صوبائی اسمبلی، کسی بھی سوال کے مشورے کے لیے اسلامی کونسل کا حوالہ دے سکتی ہے کہ آیا کوئی مجوزہ قانون اسلام کے احکام کے منافی ہے یا نہیں۔ 
