context_eng,context_urdu,predicted_translation_mistral
"Subject-matter of Federal and Provincial laws

Subject to the Constitution—
1[Majlis-e-Shoora (Parliament)] shall have exclusive power to make laws with respect to any matter in the Federal Legislative List;
2[(b) Majlis-e-Shoora (Parliament) and a Provincial Assembly shall have power to make laws with respect to criminal law, criminal procedure and evidence;]
3[(c) Subject to paragraph (b), a Provincial Assembly shall, and Majlis-e-Shoora (Parliament) shall not, have power to make laws with respect to any matter not enumerated in the Federal Legislative List;]
4[(d) Majlis-e-Shoora (Parliament) shall have exclusive power to make laws with respect to all matters pertaining to such areas in the Federation as are not included in any Province].","۲۴۱۔ دستور کے تابع وفاقی اور صوبائی قوانین کے موضوعات

الف) مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل کسی امر کے بارے میں قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا۔

ب) مجلس شوریٰ (پارلیمنٹ) اور کسی صوبائی اسمبلی کو بھی فوجداری قانون، ضابطہ فوجداری اور شہادت کے بارے میں قوانین وضع کرنے کا اختیار ہوگا۔

ج) پیرا (ب) کے مطابق کسی ایسے امر کے بارے میں جو وفاقی قانون سازی کی فہرست میں شامل نہیں ہے، قوانین بنانے کا اختیار صوبائی اسمبلی کو ہوگا اور مجلس شوریٰ (پارلیمنٹ) کو نہیں ہوگا۔

د) مجلس شوریٰ (پارلیمنٹ) کو تمام امور کے بارے میں وفاق کے ایسے علاقوں کے لیے قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا جو کسی صوبے میں شامل نہیں ہیں۔","موضوع وفاقی اور صوبائی قوانین

آئین کے تابع—
1[مجلس شورٰی (پارلیمنٹ)] کو صرف وفاقی قانون سازی کی فہرست میں شامل کسی بھی معاملے کے بارے میں قانون بنانے کا اختیار ہوگا؛
2[(ب) مجلس شورٰی (پارلیمنٹ) اور ایک صوبائی اسمبلی کو فوجداری قانون، فوجداری عمل درآمد اور ثبوت کے بارے میں قانون بنانے کا اختیار ہوگا؛]
3[(ج) پیراگراف (ب) کے تابع، ایک صوبائی اسمبلی کو، اور مجلس شورٰی (پارلیمنٹ) کو نہیں، وفاقی قانون سازی کی فہرست میں درج نہ ہونے والے کسی بھی معاملے کے بارے میں قانون بنانے کا اختیار ہوگا؛]
4[(ڈ) مجلس شورٰی (پارلیمنٹ) کو وفاق میں ایسے علاقوں کے تمام معاملات کے بارے میں قانون بنانے کا اختیار ہوگا جو کسی صوبے میں شامل نہ ہوں۔]"
"Power of the Provinces to entrust functions to the Federation

Notwithstanding anything contained in the Constitution, the Government of a Province may, with the consent of the Federal Government, entrust, either conditionally or unconditionally, to the Federal Government, or to its officers, functions in relation to any matter to which the executive authority of the Province extends 1[:]

2[Provided that the Provincial Government shall get the functions so entrusted ratified by the Provincial Assembly within sixty days.]","آرٹیکل 147: صوبوں کا وفاق کو کارہائے منصبی سپرد کرنے کا اختیار

آئین میں کسی بھی چیز کے باوجود، صوبے کی حکومت وفاقی حکومت کی رضامندی سے، کسی ایسے معاملے سے متعلق، جو صوبے کے عاملانہ اختیار کے دائرے میں آتا ہو، کارہائے منصبی، یا تو مشروط یا غیر مشروط طور پر، وفاقی حکومت یا اس کے عہدیداروں کے سپرد کر سکتی ہے:

مگر شرط یہ ہے کہ صوبائی حکومت کارہائے منصبی کو حاصل کرے گی جو اس طرح سپرد کیے گئے جن کی صوبائی اسمبلی ساٹھ دنوں میں توثیق کرے گی۔","```صوبوں کی طاقت کارروائیوں کو وفاق کے حوالے کرنے کی

آئین میں شامل کسی بھی چیز کے باوجود، کسی صوبے کی حکومت وفاقی حکومت کی رضامندی سے، شرائطی یا غیر شرائطی طور پر، وفاقی حکومت یا اس کے افسران کو ایسے معاملات سے متعلق کارروائیاں سونپ سکتی ہے جس پر صوبے کی انتظامی اختیارات پھیلی ہوئی ہیں:

پروائیڈڈ یہ کہ صوبائی حکومت ایسی کارروائیوں کو صوبائی اسمبلی سے ستر دنوں کے اندر منظور کروائے گی.```"
"Provision relating to the State of Jammu and Kashmir

When the people of the State of Jammu and Kashmir decide to accede to Pakistan, the relationship between Pakistan and that State shall be determined in accordance with the wishes of the people of that State.",جب ریاست جموں و کشمیر کے عوام پاکستان میں شامل ہونے کا فیصلہ کریں، تو پاکستان اور مذکورہ ریاست جموں و کشمیر کے درمیان تعلقات مذکورہ ریاست کے عوام کی خواہشات کے مطابق متعین ہوں گے۔,"```ریاست جموں اور کشمیر سے متعلق شق

جب ریاست جموں اور کشمیر کے لوگ پاکستان سے الحاق کا فیصلہ کریں گے، پاکستان اور اس ریاست کے درمیان تعلق اس ریاست کے لوگوں کی خواہشات کے مطابق طے کیا جائے گا۔```"
"Extent of executive authority of Federation

Subject to the Constitution, the executive authority of the federation shall extend to the matters with respect to which 1[Majlis-e- Shoora (Parliament)] has power to make laws, including exercise of rights, authority and jurisdiction in and in relation to areas outside Pakistan :

Provided that the said authority shall not, save as expressly provided in the Constitution or in any law made by 1[Majlis-e-Shoora (Parliament)], extend in any Province to a matter with respect to which the Provincial Assembly has also power to make laws.","
وفاق کے عاملانہ اختیار

دستور کے تابع، وفاق کا عاملانہ اختیار ان امور پر حاوی ہوگا جن کے بارے میں مجلس شوریٰ (پارلیمنٹ) کو قوانین وضع کرنے کا اختیار ہے، جس میں پاکستان میں اور اس سے باہر کے علاقوں کے متعلق حقوق، اقتدار اور دائرہ اختیار کو بروئے کار لانا شامل ہے:

مگر شرط یہ ہے کہ مذکورہ اقتدار، ماسواۓ جیسا کہ دستور میں یا مجلس شوریٰ (پارلیمنٹ) کے وضع کردہ کسی قانون میں بالصرات موجود ہو، کسی صوبے میں کسی ایسے امر پر حاوی نہیں ہوگا جس کے بارے میں صوبائی اسمبلی کو بھی قوانین وضع کرنے کا اختیار ہو۔
","```فیڈریشن کے ایگزیکٹو اختیارات کا دائرہ کار

آئین کے مطابق، فیڈریشن کے ایگزیکٹو اختیارات کا دائرہ کار ان معاملات تک پھیلا ہوگا جن کے بارے میں 1[مجلس شوریٰ (پارلیمنٹ)] کو قوانین بنانے کا اختیار ہے، جس میں پاکستان سے باہر علاقوں میں حقوق، اختیارات اور اختیارات کا استعمال شامل ہے:

بشرطیکہ یہ اختیارات آئین یا کسی بھی 1[مجلس شوریٰ (پارلیمنٹ)] کے ذریعے بنائی گئی قانون میں صراحتاً بیان نہ کیا جائے، کسی بھی صوبے میں اس حد تک پھیلا نہیں ہوں گے جہاں صوبائی اسمبلی کو بھی قوانین بنانے کا اختیار ہے۔```"
"Provisions relating to the Holy Quran and Sunnah

(1) All existing laws shall be brought in conformity with the Injunctions of Islam as laid down in the Holy Quran and Sunnah, in this part referred to as the Injunctions of Islam, and no law shall be enacted which is repugnant to such Injunctions.

1[Explanation.—In the application of this clause to the personal law of any Muslim sect, the expression ""Quran and Sunnah"" shall mean the Quran and Sunnah as interpreted by the sect.]
Effect shall be given to the provisions of clause (1) only in the manner provided in this Part.
Nothing in this Part shall affect the personal laws of non- Muslim citizens or their status as citizens.","۷۲۲۔ تمام موجودہ قوانین کو قرآن پاک اور سنت کے احکام کے مطابق بنایا جائے گا، جن کا اس حصے میں بطور اسلامی احکام حوالہ دیا گیا ہے، اور ایسا کوئی قانون وضع نہیں کیا جائے گا جو مذکورہ احکام کے منافی ہو۔

تشریح: کسی مسلم فرقے کے قانون شخصی پر اس شق کا اطلاق کرتے ہوئے، عبارت ""قرآن و سنت"" سے مراد مذکورہ فرقے کی کی ہوئی تفسیر کے مطابق قرآن اور سنت ہوگی۔

شق ۱ کے احکام کو صرف اس طریقے کے مطابق نافذ کیا جائے گا جو اس حصے میں منضبط ہے۔

اس حصے میں کسی امر کا غیر مسلم شہریوں کے قوانین شخصی یا شہریوں کی بطور ان کی حیثیت پر اثر نہیں پڑے گا۔","```قرآن پاک اور سنت کے بارے میں احکامات

(1) تمام موجودہ قوانین کو اسلامی احکامات کے مطابق کر دیا جائے گا جو قرآن پاک اور سنت میں وضع کیے گئے ہیں، اس حصے میں اسلامی احکامات کہلائیں گے، اور کوئی قانون نہیں بنایا جائے گا جو ایسے احکامات کے خلاف ہو۔

1[وضاحت.—اس فقرے کے اطلاق پر کسی مسلم فرقے کے شخصی قانون میں، اصطلاح ""قرآن اور سنت"" کا مطلب ہوگا قرآن اور سنت جیسا کہ فرقے نے تشریح کیا ہے۔]
اس فقرے کے احکامات کا اثر صرف اس حصے میں وضع کیے گئے طریقے سے ہی دیا جائے گا۔
اس حصے میں کوئی چیز غیر مسلم شہریوں کے شخصی قوانین یا ان کی حیثیت شہری کو متاثر نہیں کرے گی۔```"
"Power of Council to enforce attendance of persons, etc.

(1)     For the purpose of inquiring into any matter, the Council shall have the same power as the Supreme Court has to issue directions or orders for securing the attendance of any person or the discovery or production of any document; and any such direction or order shall be enforceable as if it had been issued by the Supreme Court.

1 Subs. by the Constitution (Eighteenth Amdt.) Act, 2010 (10 of 2010), s. 76, for “clause (5)”.


(2)   The provisions of Article 204 shall apply to the Council as they apply to the Supreme Court and a High Court.","کونسل کا اشخاص وغیرہ

(1) کسی معاملے کی تحقیقات کی غرض کے لیے، کونسل کو وہی اختیارات حاصل ہوں گے جو عدالت عظمیٰ کو کسی شخص کو حاضر عدالت کرانے کے لیے یا کسی دستاویز کی برآمدگی یا اس کو پیش کرنے کے لیے ہدایات یا احکام جاری کرنے کے لیے حاصل ہیں؛ اور کوئی ایسی ہدایت یا حکم اس طرح قابل نفاذ ہوگا گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوا ہو۔

(2) آرٹیکل 204 کے احکام کا اطلاق کونسل پر اس طرح ہوگا جس طرح ان کا اطلاق عدالت عظمیٰ یا کسی عدالت عالیہ پر ہوتا ہے۔","```پاکستانی قومی اسمبلی کی ایوان میں کوئی بھی معاملے کی تحقیقات کے لیے، کونسل کو عدالت عظمیٰ کے پاس اسی طرح کی صلاحیت ہوگی جیسے کہ عدالت عظمیٰ کے پاس ہے کہ وہ کسی شخص کی حاضری کو یقینی بنانے کے لیے ہدایات یا احکامات جاری کر سکے یا کسی دستاویز کی دریافت یا پیشکش کو یقینی بنانے کے لیے؛ اور کوئی بھی ایسی ہدایت یا حکم اس طرح نافذ ہوگا جیسے کہ یہ عدالت عظمیٰ سے جاری ہوا ہو.

1 آئین (اٹھارہویں ترمیم) قانون، 2010 (10 آف 2010)، سیکشن 76، کے ذریعے ""کلاز (5)"" کے لیے تبدیل کیا گیا۔

(2)  آرٹیکل 204 کی دفعات کونسل پر بھی لاگو ہوں گی، جیسے کہ وہ عدالت عظمیٰ اور ایک ہائی کورٹ پر لاگو ہوتی ہیں۔```"
"Custody, etc., of Federal Consolidated Fund and Public Account

The custody of the Federal Consolidated Fund, the payment of moneys into that Fund, the withdrawal of moneys therefrom, the custody of other moneys received by or on behalf of the Federal Government, their payment into, and withdrawal from, the Public Account of the Federation, and all matters connected with or ancillary to the matters aforesaid shall be regulated by Act of 1[Majlis-e-Shoora (Parliament)] or, until provision in that behalf is so made, by rules made by the President.","وفاقی مجموعی فنڈ کی تحویل، اس فنڈ میں رقوم کی ادائیگی، اس سے رقوم کی بازخواست، وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ دیگر رقوم کی تحویل، وفاق کے سرکاری حساب میں ان کی ادائیگی اور بازخواست، اور مذکورہ بالا امور سے متعلق یا ضمنی جملہ امور مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا، اس بارے میں اس طرح احکام وضع ہونے تک، صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔

احیائے دستور 1973ء کا فرمان، 1995ء فرمان صدر نمبر 14 مجریہ 1981ء کے آرٹیکل 1 اور جدول کی رد سے پارلیمنٹ کی بجائے تبدیل کئے گئے۔

اسلامی جمہوریہ پاکستان کا دستور","وفاقی مرکزی فنڈ اور عوامی حساب کی حراست وغیرہ

وفاقی مرکزی فنڈ کی حراست، اس فنڈ میں پیسے جمع کرنا، اس سے پیسے نکالنا، وفاقی حکومت کے ذریعے یا اس کی طرف سے وصول کیے گئے دیگر پیسوں کی حراست، ان کا عوامی حسابِ وفاق میں جمع کرنا اور انہیں اس سے نکالنا، اور ان معاملات سے متعلق یا ان کے ساتھ ملحق تمام معاملات کا انتظام مجلسِ شوریٰ (پارلیمنٹ) کے ایکٹ سے یا، اس کے لیے انتظامات کیے جانے تک، صدر کے بنائے گئے قوانین سے کیا جائے گا۔"
"Participation of people in Armed Forces

The State shall enable people from all parts of Pakistan to participate in the Armed Forces of Pakistan.",۹۳۔ مملکت پاکستان کے تمام علاقوں کے لوگوں کو پاکستان کی مسلح افواج میں شرکت کے قابل بنائے گی۔,```ریاست پاکستان کے تمام حصوں سے لوگوں کو پاکستان کی مسلح افواج میں شرکت کرنے کے قابل بنائے گی۔```
"Power of Auditor-General to give directions as to accounts

4[(1)] The accounts of the Federation and of the Provinces shall be kept in such form and in accordance with such principles and methods as the Auditor-General may, with the approval of the President, prescribe.

4[(2) The audit of the accounts of the Federal and of the Provincial Governments and the accounts of any authority or body established by, or under the control of, the Federal or a Provincial Government shall be conducted by the Auditor-General, who shall determine the extent and nature of such audit.]","۱۔ وفاق اور صوبوں کے حسابات، ایسی شکل میں اور ایسے اصولوں اور طریقوں کے مطابق رکھے جائیں گے جنہیں محاسب اعلیٰ، صدر کی منظوری سے، مقرر کرے۔

۲۔ وفاقی اور صوبائی حکومتوں کے حسابات اور کسی بھی بنیت مجاز یا جماعت جو کہ وفاقی یا صوبائی حکومت کی جانب سے قائم کی گئی یا اس پر نگرانی ہو، کے حسابات کا محاسبہ محاسب اعلیٰ انجام دے گا، جو کہ مذکورہ محاسبہ کی وسعت اور نوعیت کا تعین کرے گا۔","```وفاق اور صوبوں کے حساب کتاب کی نگرانی کا اختیار - آڈیٹر جنرل کو ہدایات دینے کا اختیار

4[(1)] وفاق اور صوبوں کے حساب کتاب ایسی شکل میں اور ایسے اصولوں اور طریقوں کے مطابق رکھے جائیں گے جیسے آڈیٹر جنرل صادر جناب صدر کی منظوری سے طے کریں گے۔

4[(2) وفاقی اور صوبائی حکومتوں کے حساب کتاب کی اور کسی بھی اتھارٹی یا ادارے کے حساب کتاب کی جو وفاقی یا صوبائی حکومت کے زیر قابو قائم کیا گیا ہو کا آڈٹ آڈیٹر جنرل کرے گا جس کی حدود اور قسم آڈیٹر جنرل مقرر کرے گا۔]```"
"Bill not to lapse on prorogation, etc.

(1)     A Bill pending in either House shall not lapse by reason of the prorogation of the House.

A Bill pending in the Senate which has not been passed by the National Assembly shall not lapse on the dissolution of the National Assembly.

A Bill pending in the National Assembly, or a Bill which having been passed by the National Assembly is pending in the Senate, shall lapse on the dissolution of the National Assembly.","کسی بھی ایوان میں زیر غور کوئی بل اس ایوان کی برخاستگی کی بناء پر ساقط نہیں ہوگا۔

سینیٹ میں زیر غور کوئی بل جسے قومی اسمبلی نے منظور نہ کیا ہو، قومی اسمبلی کے ٹوٹنے پر ساقط نہیں ہوگا۔

قومی اسمبلی میں زیر غور کوئی بل یا کوئی بل جو قومی اسمبلی سے منظور ہو جانے پر سینیٹ میں زیر غور ہو، قومی اسمبلی کے ٹوٹنے پر ساقط ہو جائے گا۔","```بل پروروگیشن اور دیگر وجوہات پر ختم نہیں ہوگا۔

(1) کسی بھی ایوان میں زیر التواء بل ایوان کی پروروگیشن کی وجہ سے ختم نہیں ہوگا۔

سینیٹ میں زیر التواء بل جو قومی اسمبلی کی منظوری سے گذرا نہیں ہوگا، اس کی وجہ سے قومی اسمبلی کی تحلیل پر ختم نہیں ہوگا۔

قومی اسمبلی میں زیر التواء بل، یا ایسا بل جو قومی اسمبلی کی منظوری سے گذر کر سینیٹ میں زیر التواء ہو، قومی اسمبلی کی تحلیل پر ختم ہو جائے گا۔```"
"Reference by 3[Majlis-e-Shoora (Parliament)], etc., to Islamic Council
The President or the Governor of a Province may, or if two-fifths of its total membership so requires, a House or a Provincial Assembly shall, refer to the Islamic Council for advice any question as to whether a proposed law is or is not repugnant to the Injunctions of Islam.","۳[مجلسِ شوریٰ (پارلیمنٹ)] وغیرہ کی اسلامی کونسل کو حوالہ

صدر یا کسی صوبے کا گورنر، یا اگر کسی ایوان یا کسی صوبائی اسمبلی کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے، تو کسی سوال پر اسلامی کونسل سے مشورہ کیا جائے گا کہ آیا کوئی مجوزہ قانون اسلام کے احکام کے منافی ہے یا نہیں۔","```مجلسِ شوریٰ (پارلیمنٹ) کا حوالہ دینا وغیرہ، اسلامی کونسل کو
صدر یا کسی صوبے کے گورنر حوالہ دے سکتے ہیں یا اگر اس کی کل رکنیت کا دو پانچواں حصہ ایسا طلب کرے تو، ایوان یا صوبائی اسمبلی کو حوالہ دینا ہوگا، اسلامی کونسل سے مشورہ کے لیے کوئی سوال جو یہ ہو کہ کیا پیش کی جانے والی قانون موجودہ قانون کے منافی ہے یا نہیں۔```"
