id,answers,prediction_text
10,قانون بننے تک صدر بذریعہ فرمان چیئرمین، ڈپٹی چیئرمین، وزیر اعظم اور سینیٹ کے ارکان کی تنخواہیں، بھتے اور مراعات متعین کر سکتا ہے۔,قانون بننے تک چیئرمین، ڈپٹی چیئرمین، وزیر اعظم اور سینیٹ کے ارکان کی تنخواہیں،
11,صدر کو جسمانی یا دماغی نا اہلی، دستور کی خلاف ورزی، یا فاش غلط روی کی بنیاد پر عہدے سے ہٹایا جا سکتا ہے۔,جسمانی یا دماغی نا اہلی کی بنیاد پر اس کے عہدے سے برطرف کیا جا سکتا ہے یا 
12,ہر عدالت عالیہ کے اضافی بینچوں کے مقامات کا تعین گورنر کابینہ کے مشورے اور عدالت عالیہ کے چیف جسٹس کے مشورے سے کرتا ہے۔,ہر عدالت عالیہ کے اضافی بینچوں کے مقامات کا تعین گورنر کرتا ہے۔
13,عدالت ایسا حکم صادر کر سکتی ہے جو وہ مناسب سمجھے، جس میں کسی حکم سزا کی تعمیل روکنا اور ملزم کو ضمانت پر یا اس کے اپنے مچلکہ پر رہا کرنا شامل ہو سکتا ہے جب تک کہ ریکارڈ کا جائزہ نہ لے لیا جائے۔,عدالت کسی فوجداری مقدمے کی کارروائی میں بے قاعدگیاں نظر آئیں تو وہ
14,گورنر، عدالت عالیہ کے جج، صوبائی اسمبلی کے اسپیکر اور ڈپٹی اسپیکر، اور عدالت عالیہ اور صوبائی اسمبلی سیکرٹریٹ کے افسران اور ملازمین کی تنخواہ صوبائی مجموعی فنڈ پر واجب الادا ہوتی ہے۔,صوبائی مجموعی فنڈ پر گورنر اور اس کے دفتر سے متعلق دیگر اخراجات، اور ان کی ت
15,بل پر مجلس شوریٰ (پارلیمنٹ) کے مشترکہ اجلاس میں دوبارہ غور کیا جاتا ہے، اور اگر اسے دونوں ایوانوں کے موجود اراکین کی اکثریت رائے دہی اور رائے شماری سے دوبارہ منظور کر لیا جائے، تو اسے صدر کو پیش کیا جاتا ہے، جو دس دن کے اندر اس کی منظوری دے گا، ناکامی کی صورت میں مذکورہ منظوری دی گئی متصور ہو گی۔,اگر صدر بل کو مجلس شوریٰ (پارلیمنٹ) کو واپس کر دے تو اس پر مجلس شوریٰ
16,گورنر عدالت عالیہ کے چیف جسٹس کے سامنے حلف اٹھاتا ہے۔,گورنر عدالت عالیہ کے چیف جسٹس کے سامنے جدول سوم میں درج شدہ عبارت میں
17,ہنگامی حالت کے دوران پارلیمنٹ کے بنائے گئے قوانین، جنہیں بنانے کا اختیار پارلیمنٹ کو نہ ہوتا اگر ہنگامی حالت کا اعلان جاری نہ ہوا ہوتا، اعلان کے نافذ العمل نہ رہنے کے چھ ماہ بعد غیر موثر ہو جائیں گے، سوائے ان امور کے جو مذکورہ مدت کے ختم ہونے سے قبل انجام پا چکے ہوں یا انجام دہی سے نظرانداز ہو گئے ہوں۔,ہنگامی حالت کے ختم ہونے کے بعد پارلیمنٹ کے بنائے گئے قوانین منسوخ ہو
18,وزیرِاعظم کے خلاف عدم اعتماد کا ووٹ پیش کرنے کے لیے قومی اسمبلی کی کل رکنیت کے کم از کم بیس فیصد ارکان کی ضرورت ہوتی ہے۔,وزیرِاعظم کے خلاف عدم اعتماد کا ووٹ پیش کرنے کے لیے قومی اسمبلی کی کل رکنیت کے
19,وفاقی حکومت کو کسی صوبے میں پن بجلی کے پاور اسٹیشن تعمیر کرنے کا فیصلہ کرنے سے پہلے متعلقہ صوبائی حکومت سے مشاورت کرنی چاہیے۔,وفاقی حکومت کو متعلقہ صوبائی حکومت سے مشاورت کرنا چاہیے، اور متعلقہ صوب
20,پاکستان کے چیف جسٹس صدر کو حلف دلواتے ہیں۔,صدر پاکستان کے چیف جسٹس کے سامنے جدول سوم میں مندرج عبارت میں حلف اٹھاتا ہے۔
21,نہیں، کوئی پاکستانی شہری وفاقی حکومت کی منظوری کے بغیر کسی بیرونی ریاست سے کوئی خطاب، اعزاز یا اعزازی نشان قبول نہیں کر سکتا۔,نہیں، کوئی شہری وفاقی حکومت کی منظوری کے بغیر کسی بیرونی ریاست سے کوئی خطاب،
22,جی ہاں، انگریزی زبان اس وقت تک سرکاری اغراض کے لیے استعمال کی جا سکتی ہے، جب تک کہ اسے اردو سے تبدیل کرنے کے انتظامات نہ ہو جائیں۔,جی ہاں، انگریزی زبان اس وقت تک سرکاری اغراض کے لیے استعمال کی جا سکتی ہے جب تک
23,الیکشن کمیشن کے ارکان کا تقرر صدر کرتا ہے۔,الیکشن کمیشن کے ارکان کا تقرر صدر کرتا ہے۔
24,نہیں، کسی شخص کو کوئی ایسا خاص محصول ادا کرنے پر مجبور نہیں کیا جا سکتا جس کی آمدنی اس کے اپنے مذہب کے علاوہ کسی اور مذہب کی تبلیغ و ترویج پر صرف کی جائے۔,نہیں، کسی شخص کو کوئی ایسا خاص محصول ادا کرنے پر مجبور نہیں کیا جا سکتا جو اس کے اپنے
25,جی ہاں، اگر کوئی صوبائی حکومت اپنے صوبے سے باہر تجارت یا کاروبار کرتی ہے، تو اس پر مجلس شوریٰ (پارلیمنٹ) کے ایکٹ یا جس صوبے میں وہ تجارت یا کاروبار کیا جاتا ہو، اس صوبے کی صوبائی اسمبلی کے ایکٹ کے تحت محصول عائد کیا جا سکتا ہے۔,نہیں، کسی صوبائی حکومت پر اپنے صوبے سے باہر کی جانے والی کاروباری سرگرمیوں پر
26,گورنر، وزیراعلیٰ کو اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے تاوقتیکہ اس کا جانشین وزیراعلیٰ کے عہدے پر فائز نہ ہو جائے۔,وزیراعلیٰ کا عہدے پر گورنر، وزیراعلیٰ کو اپنے عہدے پر برقرار رہنے کے
27,جی ہاں، صوبائی حکومت یا مقامی ہیئت مجاز تقرر سے قبل کسی بھی آسامی یا ملازمت کی قسم کے لیے زیادہ سے زیادہ تین سال تک سکونت کی شرائط عائد کر سکتی ہے۔,نہیں، صوبائی حکومت عوامی خدمت کی ملازمتوں کے لیے سکونت کی شرائط مقرر کر سکتی
28,جی ہاں، قومی اسمبلی کی رکنیت کے لئے اہلیت اور نااہلیت کے قواعد صوبائی اسمبلی پر بھی لاگو ہوتے ہیں۔,جی ہاں، قومی اسمبلی کے رکن بننے کے لئے اہلیت اور نااہلیت کا اطلاق صوبائی اسم
29,عدالت عظمیٰ کا جج پینسٹھ سال کی عمر کو پہنچنے تک خدمت کر سکتا ہے۔,عدالت عظمیٰ کا جج پینسٹھ سال کی عمر تک خدمت کر سکتا ہے۔
30,قومی مالیاتی کمیشن کا ایک فرض صدر کو وفاق اور صوبوں کے مابین بعض محصولات کی خالص آمدنی کی تقسیم کے بارے میں سفارشات پیش کرنا ہے۔,قومی مالیاتی کمیشن کا فرض ہوگا کہ وہ صدر کو حسب ذیل کے بارے میں سفار
31,یوم آغاز سے قبل صوبائی اغراض کے لیے استعمال ہونے والی جائیداد اور اثاثے اس دن سے صوبے کی حکومت کے تصرف میں آ جائیں گے۔,یوم آغاز سے قبل صوبائی اغراض کے لیے استعمال ہونے والی جائیداد اور اثاثوں کا تصرف
32,ایوان کی کارروائی اس بناء پر ناجائز نہیں ہوگی کہ کچھ اشخاص جو ایسا کرنے کا حق نہیں رکھتے تھے، کارروائی کے دوران بیٹھے، ووٹ دیئے یا کسی اور صورت میں حصہ لیتے رہے۔,اگر کوئی ایسا شخص جو کارروائی میں حصہ لینے کا حق نہیں رکھتا، ایوان کی کارروائی میں حص
33,جی ہاں، ہر مذہبی گروہ اور فرقے کو قانون، امن عامہ اور اخلاق کے تابع اپنے مذہبی ادارے قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق ہے۔,جی ہاں، ہر مذہبی گروہ اور اس کے ہر فرقے کو اپنے مذہبی ادارے قائم
34,مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل کسی امر کے بارے میں قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا۔,وفاقی قانون سازی کی فہرست میں شامل امور پر قوانین بنانے کا اختیار مجلس شوریٰ (پارلیمنٹ
35,سینیٹ 96 ارکان پر مشتمل ہے۔,سینیٹ میں 96 ارکان ہیں جن میں سے چودہ ہر ایک صوبائی اسمبلی کے ارکان منتخب کرنے
36,نہیں، کوئی شخص جو کسی مجاز عدالت کی طرف سے فاتر العقل قرار دیا گیا ہو، پارلیمنٹ کا رکن منتخب ہونے یا چنے جانے کے لیے نااہل ہوتا ہے۔,جی ہاں، کوئی شخص جو عدالت کی طرف سے فاتر العقل قرار دیا گیا ہو، پارلیمنٹ کا رکن
37,سپریم کورٹ میں اپیل کی جا سکتی ہے اگر ہائی کورٹ نے اپیل پر کسی ملزم کے بری ہونے کے حکم کو بدل دیا ہو اور اسے سزائے موت یا عمر قید یا عمر قید کی سزا دے دی ہو، یا نگرانی کی درخواست پر کسی سزا کو بڑھا کر مذکورہ بالا سزا دے دی ہو۔,سپریم کورٹ میں اپیل کی جا سکتی ہے اگر ہائی کورٹ نے اپیل پر کسی ملزم کو سز
38,شخص کو سپریم کورٹ کا جج، اعلیٰ سول افسر، یا ٹیکنوکریٹ ہونا چاہیے اور اس کی عمر اڑسٹھ سال سے زیادہ نہیں ہونی چاہیے۔,چیف الیکشن کمشنر کے تقرر کے لیے شرائط ہیں کہ وہ سپریم کورٹ کا جج رہا
39,صوبائی حکومت کو کارہائے منصبی کی صوبائی اسمبلی سے ساٹھ دنوں میں توثیق کرانی چاہیے۔,صوبائی حکومت کارہائے منصبی کو حاصل کرنا چاہیے جو اس طرح سپرد کیے گئے جن
40,بیان کی گئی شرط یہ ہے کہ ریاست جموں و کشمیر کے عوام کو پاکستان میں شامل ہونے کا فیصلہ کرنا ہوگا۔,ریاست جموں و کشمیر کے پاکستان کے ساتھ تعلقات کے تعین کے لیے کونسی شرط بیان کی گئی ہے۔
41,وفاق کا عاملانہ اختیار کسی صوبے کے اندرونی امور پر حاوی نہیں ہو سکتا اگر صوبائی اسمبلی کو بھی ان امور پر قوانین وضع کرنے کا اختیار ہو، ماسواۓ جیسا کہ دستور میں یا پارلیمنٹ کے وضع کردہ کسی قانون میں بالصرات موجود ہو۔,نہیں، وفاق کا عاملانہ اختیار کسی صوبے میں کسی ایسے امر پر حاوی نہیں ہوگا جس کے بارے
42,نہیں، یہ احکام غیر مسلم شہریوں کے قوانین شخصی یا ان کی بطور شہری حیثیت پر اثر انداز نہیں ہوتے۔,نہیں، قرآن پاک اور سنت کے احکام غیر مسلم شہریوں کے قوانین شخصی یا شہریوں کی بطور ان کی حیث
43,کوئی بھی عدالتی فیصلے جو پارلیمنٹ کو مخصوص آمدنی پر ٹیکس عائد کرنے کی اجازت دینے والی دفعات کے خلاف ہوں، کالعدم اور بے اثر تصور کیے جائیں گے۔,ان عدالتی فیصلوں کا ہمیشہ سے کالعدم اور بغیر کسی بھی اثر کے متصور ہو
44,انتظامی اخراجات میں عدالت عظمیٰ، عدالت عالیہ اسلام آباد، محاسب اعلیٰ کے محکمہ، چیف الیکشن کمشنر اور انتخابی کمیشن کے دفتر اور سینٹ اور قومی اسمبلی کے دفاتر کے افسران اور عملہ کو واجب الادا مشاہرہ شامل ہیں۔,وفاقی مجموعی فنڈ پر واجب الادا انتظامی مصارف بشمول افسران اور عملہ کو واجب ال
45,زرعی آمدنی سے مراد وہ زرعی آمدنی ہے جس کی تعریف محصول آمدنی سے متعلق قانون کی اغراض کے لیے کی گئی ہے۔,زرعی آمدنی سے مراد وہ زرعی آمدنی ہے جس کی تعریف محصول آمدنی سے متعلق قانون کی اغراض کے
46,پاکستان کی ایک عدالت عظمیٰ، ہر صوبے کے لیے ایک عدالت عالیہ، دارالحکومت اسلام آباد کے لیے ایک عدالت عالیہ، اور ایسی دوسری عدالتیں ہوں گی جو قانون کے ذریعے قائم کی جائیں گی۔,پاکستان کی ایک عدالت عظمیٰ، اور ہر صوبے کے لیے ایک عدالت عالیہ اور دارالحکومت اسلام
47,کونسل کی ہدایات یا احکام اس طرح قابل نفاذ ہوں گے گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوئے ہوں۔,کونسل کی ہدایات یا احکام اس طرح نافذ کیے جاتے ہیں جس طرح کہ وہ عدالت
48,جی ہاں، اس آرٹیکل کے احکامات کا اطلاق ان افراد کے مقدمات پر نہیں ہوگا جو کسی ایکٹ کے تحت مقدمہ چلانے کا دعویٰ کرتے ہیں، یا جو کسی دہشت گرد جماعت یا تنظیم سے وابستہ ہونے کا دعویٰ کرتے ہیں یا اس سے شناخت ہوتے ہیں جو مذہب یا فرقے کے نام کا غلط استعمال کر رہی ہو۔,نہیں، عدلیہ کو یوم آغاز سے چودہ سال کے اندر انتظامیہ سے علیحدہ کیا جائے گا، مگر
49,آرٹیکل میں کہا گیا ہے کہ وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ رقوم کی تحویل، ان کی ادائیگی اور بازخواست، اور تمام متعلقہ امور مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا اس بارے میں احکام وضع ہونے تک صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔,وفاقی حکومت کی طرف سے وصول شدہ رقوم کی تحویل کے بارے میں آرٹیکل کیا کہتا
50,وفاقی قانون سازی کی فہرست سے متعلق بل کی ابتدا کسی بھی ایوان میں ہو سکتی ہے۔,وفاقی قانون سازی کی فہرست میں کسی بل کی ابتدا کسی بھی ایوان میں ہو سکتی ہے اور اگر
51,ریاست پاکستان کے تمام علاقوں کے لوگوں کو پاکستان کی مسلح افواج میں شرکت کے قابل بناتی ہے۔,ریاست پاکستان کے تمام علاقوں کے لوگوں کو پاکستان کی مسلح افواج میں شرکت کے قابل بنائے گی۔
52,وفاقی اور صوبائی حکومتوں کے حسابات کا محاسبہ محاسب اعلیٰ کرتا ہے۔,وفاقی اور صوبائی حکومتوں کے حسابات کا محاسبہ محاسب اعلیٰ کرتا ہے۔
53,چیف جسٹس پاکستان عدالت عظمیٰ کے ججوں کا کورم پورا نہ ہونے کی وجہ سے یا کسی دوسری وجہ سے ججوں کی تعداد میں عارضی طور پر اضافہ کرنے کی ضرورت کے تحت، صدر کی منظوری اور جوڈیشل کمیشن کی مشاورت سے جیسا کہ آرٹیکل 175 الف کی شق 2 میں فراہم کیا گیا ہے، ایک عارضی جج مقرر کر سکتے ہیں۔,چیف جسٹس پاکستان کسی وقت عدالت عظمیٰ کے ججوں کا کورم پورا نہ ہونے کی وجہ
54,اگر وفاقی حکومت یا کوئی صوبائی حکومت کونسل کے کسی فیصلے سے غیر مطمئن ہو، تو وہ اس معاملے کو مجلس شوریٰ (پارلیمنٹ) کی مشترکہ نشست میں بھیج سکے گی جس کا فیصلہ اس بارے میں حتمی ہوگا۔,اگر وفاقی حکومت یا کوئی صوبائی حکومت کونسل کے کسی فیصلے سے غیر مطمئن ہو تو
55,وفاقی شرعی عدالت کا صدر مقام اسلام آباد میں واقع ہے۔,وفاقی شرعی عدالت کا صدر مقام اسلام آباد میں ہے۔
56,قومی اسمبلی میں زیر غور کوئی بل یا کوئی بل جو قومی اسمبلی سے منظور ہو جانے پر سینیٹ میں زیر غور ہو، قومی اسمبلی کے ٹوٹنے پر ساقط ہو جائے گا۔,قومی اسمبلی میں زیر غور بل قومی اسمبلی کے ٹوٹنے پر ساقط ہو جائے گا۔
57,کسی ایوان یا صوبائی اسمبلی کو سوال اسلامی کونسل کو بھیجنا ضروری ہے اگر اس کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے۔,کسی ایوان یا صوبائی اسمبلی کو سوال اسلامی کونسل کو بھیجنا ضروری ہے۔
58,نہیں، عدالت عظمیٰ یا کسی عدالت عالیہ کے جج کو اس آرٹیکل میں قرار دی گئی شرائط کے بغیر، جن میں اعلیٰ عدالتی کونسل کی تحقیقات شامل ہیں، عہدے سے برطرف نہیں کیا جا سکتا۔,نہیں، عدالت عظمیٰ یا کسی عدالت عالیہ کے کسی جج کو اعلیٰ عدالتی
59,جی ہاں، عدالت کو ہر لحاظ سے ایسی کارروائی کا اہتمام کرنے اور اپنے طریقہ کار کو منضبط کرنے کا اختیار ہوگا جیسا کہ وہ مناسب خیال کرے۔,جی ہاں، عدالت کو اپنے طریقہ کار کو منضبط کرنے کا اختیار ہوگا۔
60,دستور کے تحت پہلی صوبائی اسمبلی کے اراکین وہ ہیں جو یوم آغاز سے عین قبل موجود اس صوبے کی اسمبلی کے اراکین ہیں، اور وہ زائد اراکین جو آرٹیکل ۱۰۶ کی شق ۳ میں محولہ نشستوں کو پر کرنے کے لیے اراکین کی طرف سے قانون کے مطابق منتخب کیے جائیں گے۔,دستور کے تحت پہلی صوبائی اسمبلی کے اراکین یوم آغاز سے عین قبل موجود اس صوبے کی اسم
61,سپریم کورٹ اور ہائی کورٹ کے ججوں کی تنخواہ اور ملازمت کی شرائط کی تفصیلات جدول پنجم میں مل سکتی ہیں۔,جدول پنجم
62,'قانون' میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے۔,کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو، مگر اس میں دستور، مسلم شخصی قانون،
63,الیکشن کمیشن حلقوں کی حدبندی بشمول مقامی حکومتوں کے انتخابی حلقوں کی حدبندی کا ذمہ دار ہے۔,الیکشن کمیشن حلقوں کی حدبندی کا ذمہ دار ہے۔
64,یہ قرار دیتا ہے کہ آرٹیکل ۱۵۲اے کو حذف کر دیا گیا اور آرٹیکل ۱۷۹ اور ۱۹۵ کو تبدیل کر دیا گیا، اور یہ تبدیلی ہمیشہ سے نافذ العمل سمجھی جائے گی۔,دستور (سترہویں ترمیم) ایکٹ، ۲۰۰۳ (ایکٹ نمبر ۳ بابت ۲۰۰۳) کے ذر
65,جی ہاں، صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔,جی ہاں، وزیر اعظم نئے وزیر اعظم کے منتخب ہونے کے بعد بھی عہدے پر رہ
66,مجلس شوریٰ (پارلیمنٹ) کو وفاقی یا صوبائی قانون کے تحت قائم شدہ کارپوریشنز اور دیگر اداروں کی آمدنی پر محصول عائد کرنے کا اختیار ہے۔,مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون یا صوبائی قانون کے تحت قائم شدہ کسی
67,نہیں، کسی ایسے معاملے کے بارے میں جو کونسل کے سامنے زیر بحث ہوا رہا ہو معاملہ کے کسی فریق کی تحریک پر یا کسی ایسے معاملے کے بارے میں، جو اس آرٹیکل کے تحت کونسل کے سامنے شکایت کا مناسب موضوع فی الواقع ہو، یا رہا ہو سکتا ہو یا ہونا چاہیے، کسی بھی شخص کی تحریک پر، کسی عدالت کے سامنے کوئی کارروائی نہیں کی جائے گی۔,نہیں، کونسل کے زیر غور معاملے کے بارے میں کسی بھی شخص کی تحریک پر، کسی عدالت
68,نہیں، ایسا بل صدر کی ماقبل منظوری کے بغیر قومی اسمبلی میں پیش نہیں کیا جا سکتا۔,نہیں، کوئی ایسا بل جو صوبوں میں ٹیکس کی تقسیم کو تبدیل کرتا ہو، صدر کی ما قبل منظوری
69,جی ہاں، یوم آغاز سے چھ ماہ کی مدت کے لیے، کوئی وفاقی وزیر یا وزیر مملکت یا کسی صوبے کا وزیر اعلیٰ یا صوبائی وزیر ایسا شخص ہو سکتا ہے جو پارلیمنٹ یا اس صوبے کی صوبائی اسمبلی کا رکن نہ ہو۔,جی ہاں، دستور میں شامل کسی امر کے باوجود، یوم آغاز سے چھ ماہ کی مدت کے لی
70,پاکستان میں قومی اسمبلی کے رکن منتخب ہونے کے لیے کم از کم عمر پچیس سال ہے۔,پاکستان میں قومی اسمبلی کے رکن منتخب ہونے کے لیے پچیس سال سے کم عمر کا ہونا چاہ
71,عدالت عظمیٰ اور عدالت عالیہ کو توہین عدالت کی سزا دینے کا اختیار ہے۔,کسی عدالت کو کسی ایسے شخص کو سزا دینے کا اختیار ہے جو عدالت کی قانونی کارروائی کی
72,چیف جسٹس عدالت عظمیٰ کے دوسرے ججوں کو حلف دلواتا ہے۔,چیف جسٹس پاکستان صدر کے سامنے، اور عدالت عظمیٰ کے دوسرے ججوں کو حلف
73,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے، منسوخ کیا گیا ہے۔,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے
74,صدر پاکستان کے اٹارنی جنرل کو مقرر کرتا ہے۔,صدر پاکستان کے اٹارنی جنرل کو مقرر کرتا ہے۔
75,جی ہاں، حکومت کسی بھی تجارت یا پیشے کو اجرت نامہ کے طریقہ کار کے ذریعے منضبط کر سکتی ہے، آزادانہ مقابلہ کے مفاد کے پیش نظر تجارت، کاروبار یا صنعت کو منضبط کر سکتی ہے، اور دیگر اشخاص کو قطعی یا جزوی طور پر خارج کر کے کسی تجارت، کاروبار، صنعت یا خدمت کا انتظام کر سکتی ہے۔,جی ہاں، ہر شہری کو کوئی جائز تجارت، کاروبار یا پیشہ یا مشغلہ اختیار کر
76,ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﺘﯽ ﮨﮯ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺗﯽ ﮨﮯ۔,صوبائی اسمبلی اپنے پہلے اجلاس کی تاریخ سے پانچ سال کی میعاد تک برقرار رہتی ہے اور 
77,وہ اعمال جو توہین عدالت سمجھے جا سکتے ہیں ان میں عدالت کی قانونی کارروائی کی مذمت کرنا، اس میں مداخلت یا مزاحمت کرنا، عدالت کے کسی حکم کی نافرمانی کرنا، عدالت یا جج کو بدنام کرنا، کوئی ایسا فعل کرنا جو عدالت یا جج کے بارے میں نفرت، تضحیک یا توہین کا باعث ہو، عدالت کے سامنے زیر سماعت معاملے کے فیصلے پر مضر اثر ڈالنا، یا کوئی اور ایسا فعل کرنا جو قانون کے تحت توہین عدالت کا موجب ہو۔,کسی عدالت کو کسی ایسے شخص کو سزا دینے کا اختیار ہوگا جو عدالت کی قانونی کارروائی کی
78,ایسے قانونی مقدمات وفاق کی طرف سے یا اس کے خلاف کیے جائیں گے، اور اگر یوم آغاز سے عین قبل کوئی مذکورہ قانونی کارروائی کسی عدالت میں تصفیہ طلب تھی تو اس صورت میں اس کارروائی میں اس دن سے صوبے کی بجائے وفاق کا تبدیل کیا جانا متصور ہوگا۔,اگر کوئی قانونی مقدمہ صوبے کی ذمہ داری تھا لیکن دستور کے تحت اب وفاق کی
79,نہیں، اس آرٹیکل کی رو سے ایڈووکیٹ جنرل ووٹ دینے کا مستحق نہیں ہے۔,نہیں، ایڈووکیٹ جنرل کو صوبائی اسمبلی میں ووٹ دینے کا مستحق نہ ہوگا۔
80,نہیں، کسی ملزم کو اپنے خلاف گواہ بننے پر مجبور نہیں کیا جا سکتا۔,نہیں، کسی ملزم کے لیے اپنے خلاف گواہی دینا لازمی ہے۔
81,جی ہاں، مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔,جی ہاں، پارلیمنٹ بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود
82,ہر سال قومی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری وفاقی حکومت کی ہے۔,وفاقی حکومت ہر سال قومی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری رکھتی ہے۔
83,اگر قومی اسمبلی کی مجموعی رکنیت کی اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے، تو وزیرِاعظم عہدے پر فائز نہیں رہے گا۔,اگر قومی اسمبلی میں اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے تو وزیرِاعظم
