id,answers,prediction_text_gemini
37,سپریم کورٹ میں اپیل کی جا سکتی ہے اگر ہائی کورٹ نے اپیل پر کسی ملزم کے بری ہونے کے حکم کو بدل دیا ہو اور اسے سزائے موت یا عمر قید یا عمر قید کی سزا دے دی ہو، یا نگرانی کی درخواست پر کسی سزا کو بڑھا کر مذکورہ بالا سزا دے دی ہو۔,اگر ہائی کورٹ نے اپیل پر کسی ملزم کے بری ہونے کے حکم کو بدل دیا ہو اور اسے سزائے موت یا عمر قید  کی سزا دے دی ہو، یا نگرانی کی درخواست پر کسی سزا کو بڑھا کر سزائے موت یا عمر قید کر دیا ہو۔
38,شخص کو سپریم کورٹ کا جج، اعلیٰ سول افسر، یا ٹیکنوکریٹ ہونا چاہیے اور اس کی عمر اڑسٹھ سال سے زیادہ نہیں ہونی چاہیے۔,"چیف الیکشن کمشنر کے تقرر کے لیے مندرجہ ذیل شرائط ہیں:

*   وہ سپریم کورٹ کا جج رہا ہو۔
*   یا وہ اعلیٰ سول افسر رہا ہو (وفاقی یا صوبائی حکومت کے تحت کم از کم بیس سال ملازمت اور بی پی ایس-۲۲ یا بالاتر میں ریٹائرمنٹ)۔
*   یا وہ ٹیکنوکریٹ ہو (سولہ سالہ تعلیم کی تکمیل کی سند اور کم از کم بیس سال کا قومی یا بین الاقوامی سطح پر تجربہ)۔
*   اس کی عمر اڑسٹھ سال سے زیادہ نہ ہو۔"
39,صوبائی حکومت کو کارہائے منصبی کی صوبائی اسمبلی سے ساٹھ دنوں میں توثیق کرانی چاہیے۔,صوبائی اسمبلی سے ساٹھ دنوں میں اس کی توثیق کروانی چاہیے۔
40,بیان کی گئی شرط یہ ہے کہ ریاست جموں و کشمیر کے عوام کو پاکستان میں شامل ہونے کا فیصلہ کرنا ہوگا۔,ریاست جموں و کشمیر کے عوام کا پاکستان میں شامل ہونے کا فیصلہ۔
41,وفاق کا عاملانہ اختیار کسی صوبے کے اندرونی امور پر حاوی نہیں ہو سکتا اگر صوبائی اسمبلی کو بھی ان امور پر قوانین وضع کرنے کا اختیار ہو، ماسواۓ جیسا کہ دستور میں یا پارلیمنٹ کے وضع کردہ کسی قانون میں بالصرات موجود ہو۔,جی نہیں، عام طور پر نہیں۔  صرف اسی صورت میں جب آئین یا پارلیمنٹ کے بنائے ہوئے کسی قانون میں واضح طور پر ایسا اختیار دیا گیا ہو۔  ورنہ، اگر صوبائی اسمبلی کو بھی اس معاملے میں قانون سازی کا اختیار حاصل ہے تو وفاق کا اختیار حاوی نہیں ہوگا۔
42,نہیں، یہ احکام غیر مسلم شہریوں کے قوانین شخصی یا ان کی بطور شہری حیثیت پر اثر انداز نہیں ہوتے۔,نہیں۔
43,کوئی بھی عدالتی فیصلے جو پارلیمنٹ کو مخصوص آمدنی پر ٹیکس عائد کرنے کی اجازت دینے والی دفعات کے خلاف ہوں، کالعدم اور بے اثر تصور کیے جائیں گے۔,ایسے تمام فیصلے کالعدم اور بے اثر ہوں گے اور ہمیشہ سے کالعدم اور بے اثر سمجھے جائیں گے۔
44,انتظامی اخراجات میں عدالت عظمیٰ، عدالت عالیہ اسلام آباد، محاسب اعلیٰ کے محکمہ، چیف الیکشن کمشنر اور انتخابی کمیشن کے دفتر اور سینٹ اور قومی اسمبلی کے دفاتر کے افسران اور عملہ کو واجب الادا مشاہرہ شامل ہیں۔,عدالت عظمیٰ، عدالت عالیہ اسلام آباد، محاسب اعلیٰ کے محکمہ اور چیف الیکشن کمشنر اور انتخابی کمیشن کے دفتر اور سینٹ اور قومی اسمبلی کے دفاتر کے انتظامی مصارف بشمول افسران اور عملہ کو واجب الادا مشاہرہ۔
45,زرعی آمدنی سے مراد وہ زرعی آمدنی ہے جس کی تعریف محصول آمدنی سے متعلق قانون کی اغراض کے لیے کی گئی ہے۔,وہ زرعی آمدنی جس کی تعریف محصول آمدنی سے متعلق قانون کی اغراض کے لیے کی گئی ہے۔
46,پاکستان کی ایک عدالت عظمیٰ، ہر صوبے کے لیے ایک عدالت عالیہ، دارالحکومت اسلام آباد کے لیے ایک عدالت عالیہ، اور ایسی دوسری عدالتیں ہوں گی جو قانون کے ذریعے قائم کی جائیں گی۔,پاکستان کی ایک عدالتِ عظمیٰ، ہر صوبے کے لیے ایک عدالتِ عالیہ، اور دارالحکومت اسلام آباد کے لیے ایک عدالت عالیہ، اور ایسی دوسری عدالتیں جو قانون کے ذریعے قائم کی جائیں گی۔
47,کونسل کی ہدایات یا احکام اس طرح قابل نفاذ ہوں گے گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوئے ہوں۔,جیسے عدالتِ عظمیٰ کے جاری کردہ ہدایات یا احکام نافذ کیے جاتے ہیں۔
48,جی ہاں، اس آرٹیکل کے احکامات کا اطلاق ان افراد کے مقدمات پر نہیں ہوگا جو کسی ایکٹ کے تحت مقدمہ چلانے کا دعویٰ کرتے ہیں، یا جو کسی دہشت گرد جماعت یا تنظیم سے وابستہ ہونے کا دعویٰ کرتے ہیں یا اس سے شناخت ہوتے ہیں جو مذہب یا فرقے کے نام کا غلط استعمال کر رہی ہو۔,جی ہاں، اس آرٹیکل کے احکامات کا اطلاق ان افراد کے مقدمات پر نہیں ہوگا جو حصہ اول کے ذیلی حصہ سوم کے نمبر شمار 6 اور 7 میں مذکور کسی ایکٹ کے تحت مقدمہ چلانے کا دعویٰ کرتے ہیں، یا جو کسی دہشت گرد جماعت یا تنظیم سے وابستہ ہونے کا دعویٰ کرتے ہیں یا اس سے شناخت ہوتے ہیں جو مذہب یا فرقے کے نام کا غلط استعمال کر رہی ہو۔
49,آرٹیکل میں کہا گیا ہے کہ وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ رقوم کی تحویل، ان کی ادائیگی اور بازخواست، اور تمام متعلقہ امور مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا اس بارے میں احکام وضع ہونے تک صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔,وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ دیگر رقوم کی تحویل، وفاق کے سرکاری حساب میں ان کی ادائیگی اور بازخواست،  مجلسِ شوریٰ کے ایکٹ، یا ایسے ایکٹ کے نہ ہونے کی صورت میں صدرِ مملکت کے وضع کردہ قواعد کے تحت ہوگی۔
50,وفاقی قانون سازی کی فہرست سے متعلق بل کی ابتدا کسی بھی ایوان میں ہو سکتی ہے۔,کسی بھی ایوان میں۔
51,ریاست پاکستان کے تمام علاقوں کے لوگوں کو پاکستان کی مسلح افواج میں شرکت کے قابل بناتی ہے۔,آئینِ پاکستان کے آرٹیکل ۹۳ کے مطابق، ریاست تمام علاقوں کے لوگوں کو مسلح افواج میں شمولیت کا موقع فراہم کرے گی۔
52,وفاقی اور صوبائی حکومتوں کے حسابات کا محاسبہ محاسب اعلیٰ کرتا ہے۔,محاسب اعلیٰ۔
53,چیف جسٹس پاکستان عدالت عظمیٰ کے ججوں کا کورم پورا نہ ہونے کی وجہ سے یا کسی دوسری وجہ سے ججوں کی تعداد میں عارضی طور پر اضافہ کرنے کی ضرورت کے تحت، صدر کی منظوری اور جوڈیشل کمیشن کی مشاورت سے جیسا کہ آرٹیکل 175 الف کی شق 2 میں فراہم کیا گیا ہے، ایک عارضی جج مقرر کر سکتے ہیں۔,جب عدالتِ عظمیٰ کے ججوں کا کورم پورا نہ ہو یا عدالت کا اجلاس منعقد کرنا یا جاری رکھنا ممکن نہ رہے، یا کسی اور وجہ سے عدالتِ عظمیٰ کے ججوں کی تعداد میں عارضی اضافہ ضروری ہو۔
54,اگر وفاقی حکومت یا کوئی صوبائی حکومت کونسل کے کسی فیصلے سے غیر مطمئن ہو، تو وہ اس معاملے کو مجلس شوریٰ (پارلیمنٹ) کی مشترکہ نشست میں بھیج سکے گی جس کا فیصلہ اس بارے میں حتمی ہوگا۔,وہ اس معاملے کو مجلسِ شوریٰ (پارلیمنٹ) کی مشترکہ نشست میں بھیج سکے گی جس کا فیصلہ اس بارے میں حتمی ہوگا۔
55,وفاقی شرعی عدالت کا صدر مقام اسلام آباد میں واقع ہے۔,اسلام آباد میں۔
56,قومی اسمبلی میں زیر غور کوئی بل یا کوئی بل جو قومی اسمبلی سے منظور ہو جانے پر سینیٹ میں زیر غور ہو، قومی اسمبلی کے ٹوٹنے پر ساقط ہو جائے گا۔,ساقط ہو جائے گا۔
57,کسی ایوان یا صوبائی اسمبلی کو سوال اسلامی کونسل کو بھیجنا ضروری ہے اگر اس کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے۔,اگر کسی ایوان یا کسی صوبائی اسمبلی کی کل رکنیت کا دو پانچواں حصہ مطالبہ کرے۔
58,نہیں، عدالت عظمیٰ یا کسی عدالت عالیہ کے جج کو اس آرٹیکل میں قرار دی گئی شرائط کے بغیر، جن میں اعلیٰ عدالتی کونسل کی تحقیقات شامل ہیں، عہدے سے برطرف نہیں کیا جا سکتا۔,نہیں، آرٹیکل کے مطابق، عدالت عظمیٰ یا کسی عدالت عالیہ کے کسی جج کو بجز جس طرح اس آرٹیکل میں قرار دیا گیا ہے، عہدے سے برطرف نہیں کیا جا سکتا، اور اس آرٹیکل میں برطرفی کا طریقہ کار اعلیٰ عدالتی کونسل کی تحقیقات اور سفارش کے بعد صدر کی جانب سے برطرفی ہے۔
59,جی ہاں، عدالت کو ہر لحاظ سے ایسی کارروائی کا اہتمام کرنے اور اپنے طریقہ کار کو منضبط کرنے کا اختیار ہوگا جیسا کہ وہ مناسب خیال کرے۔,جی، عدالت کو اپنے طریقہ کار کو منضبط کرنے کا اختیار ہے۔
60,دستور کے تحت پہلی صوبائی اسمبلی کے اراکین وہ ہیں جو یوم آغاز سے عین قبل موجود اس صوبے کی اسمبلی کے اراکین ہیں، اور وہ زائد اراکین جو آرٹیکل ۱۰۶ کی شق ۳ میں محولہ نشستوں کو پر کرنے کے لیے اراکین کی طرف سے قانون کے مطابق منتخب کیے جائیں گے۔,دستور کے تحت پہلی صوبائی اسمبلی کے اراکین یومِ آغاز سے عین قبل موجودہ صوبائی اسمبلی کے اراکین اور آرٹیکل ۱۰۶ کی شق ۳ میں مذکور نشستوں کو پُر کرنے کے لیے منتخب کیے گئے زائد اراکین پر مشتمل ہوگی۔
61,سپریم کورٹ اور ہائی کورٹ کے ججوں کی تنخواہ اور ملازمت کی شرائط کی تفصیلات جدول پنجم میں مل سکتی ہیں۔,جدول پنجم میں۔
62,'قانون' میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے۔,کسی رسم یا رواج جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے۔
63,الیکشن کمیشن حلقوں کی حدبندی بشمول مقامی حکومتوں کے انتخابی حلقوں کی حدبندی کا ذمہ دار ہے۔,مجلسِ شوریٰ (پارلیمنٹ) قانون کے ذریعے حلقوں کی حدبندی کا تعین کرتی ہے۔
64,یہ قرار دیتا ہے کہ آرٹیکل ۱۵۲اے کو حذف کر دیا گیا اور آرٹیکل ۱۷۹ اور ۱۹۵ کو تبدیل کر دیا گیا، اور یہ تبدیلی ہمیشہ سے نافذ العمل سمجھی جائے گی۔,یہ قرار دیتا ہے کہ آرٹیکل ۱۵۲ اے کو حذف اور آرٹیکل ۱۷۹ اور ۱۹۵ کو تبدیل کر دیا گیا ہے اور یہ کہ ان کی تنسیخ کے باوجود، وہ ہمیشہ اسی طرح حذف شدہ اور تبدیل شدہ متصور ہوں گے۔
65,جی ہاں، صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔,نہیں۔
66,مجلس شوریٰ (پارلیمنٹ) کو وفاقی یا صوبائی قانون کے تحت قائم شدہ کارپوریشنز اور دیگر اداروں کی آمدنی پر محصول عائد کرنے کا اختیار ہے۔,مجلسِ شوریٰ (پارلیمنٹ) کے پاس۔
67,نہیں، کسی ایسے معاملے کے بارے میں جو کونسل کے سامنے زیر بحث ہوا رہا ہو معاملہ کے کسی فریق کی تحریک پر یا کسی ایسے معاملے کے بارے میں، جو اس آرٹیکل کے تحت کونسل کے سامنے شکایت کا مناسب موضوع فی الواقع ہو، یا رہا ہو سکتا ہو یا ہونا چاہیے، کسی بھی شخص کی تحریک پر، کسی عدالت کے سامنے کوئی کارروائی نہیں کی جائے گی۔,نہیں، کسی ایسے معاملے کے بارے میں جو کونسل کے سامنے زیر بحث ہو یا ہو سکتا ہو، کسی عدالت کے سامنے کوئی کارروائی نہیں کی جا سکتی۔
68,نہیں، ایسا بل صدر کی ماقبل منظوری کے بغیر قومی اسمبلی میں پیش نہیں کیا جا سکتا۔,نہیں۔
69,جی ہاں، یوم آغاز سے چھ ماہ کی مدت کے لیے، کوئی وفاقی وزیر یا وزیر مملکت یا کسی صوبے کا وزیر اعلیٰ یا صوبائی وزیر ایسا شخص ہو سکتا ہے جو پارلیمنٹ یا اس صوبے کی صوبائی اسمبلی کا رکن نہ ہو۔,جی ہاں، نیا دستور شروع ہونے کے بعد چھ ماہ کی مدت کے لیے کوئی ایسا شخص جو پارلیمنٹ یا صوبائی اسمبلی کا رکن نہ ہو، وفاقی وزیر، وزیر مملکت، یا کسی صوبے کا وزیر اعلیٰ یا صوبائی وزیر ہو سکتا ہے۔
70,پاکستان میں قومی اسمبلی کے رکن منتخب ہونے کے لیے کم از کم عمر پچیس سال ہے۔,پچیس سال۔
71,عدالت عظمیٰ اور عدالت عالیہ کو توہین عدالت کی سزا دینے کا اختیار ہے۔,عدالتِ عظمیٰ اور عدالتِ عالیہ کو توہینِ عدالت کی سزا دینے کا اختیار ہے۔
72,چیف جسٹس عدالت عظمیٰ کے دوسرے ججوں کو حلف دلواتا ہے۔,چیف جسٹس۔
73,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے، منسوخ کیا گیا ہے۔,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے اس دستور میں محذوفات، اضافے، ردوبدل یا ترامیم کی گئیں۔
74,صدر پاکستان کے اٹارنی جنرل کو مقرر کرتا ہے۔,صدرِ پاکستان۔
75,جی ہاں، حکومت کسی بھی تجارت یا پیشے کو اجرت نامہ کے طریقہ کار کے ذریعے منضبط کر سکتی ہے، آزادانہ مقابلہ کے مفاد کے پیش نظر تجارت، کاروبار یا صنعت کو منضبط کر سکتی ہے، اور دیگر اشخاص کو قطعی یا جزوی طور پر خارج کر کے کسی تجارت، کاروبار، صنعت یا خدمت کا انتظام کر سکتی ہے۔,جی ہاں،  آئین میں کچھ پابندیاں ہیں۔  اگرچہ ہر شہری کو کاروبار یا تجارت کرنے کا حق ہے،  لیکن حکومت  مزدوروں کے تحفظ،  مقابلوں کو منصفانہ رکھنے، یا عوامی مفاد میں کچھ کاروبار خود چلانے کے لیے قوانین بنا سکتی ہے۔
76,ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﺘﯽ ﮨﮯ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺗﯽ ﮨﮯ۔,اپنے پہلے اجلاس کی تاریخ سے پانچ سال کی میعاد تک برقرار رہتی ہے اور اپنی میعاد کے اختتام پر ٹوٹ جاتی ہے۔
