id,answers,prediction_text_mistral
36,نہیں، کوئی شخص جو کسی مجاز عدالت کی طرف سے فاتر العقل قرار دیا گیا ہو، پارلیمنٹ کا رکن منتخب ہونے یا چنے جانے کے لیے نااہل ہوتا ہے۔,نہیں، کوئی شخص جو عدالت کی طرف سے فاتر العقل قرار دیا گیا ہو، پارلیمنٹ کا رکن نہیں بن سکتا۔
37,سپریم کورٹ میں اپیل کی جا سکتی ہے اگر ہائی کورٹ نے اپیل پر کسی ملزم کے بری ہونے کے حکم کو بدل دیا ہو اور اسے سزائے موت یا عمر قید یا عمر قید کی سزا دے دی ہو، یا نگرانی کی درخواست پر کسی سزا کو بڑھا کر مذکورہ بالا سزا دے دی ہو۔,اگر ہائی کورٹ نے اپیل پر کسی ملزم کے بری ہونے کے حکم کو بدل دیا ہو اور اسے سزائے موت یا عمر قید یا عمر قید کی سزا دے دی ہو، یا نگرانی کی درخواست پر کسی سزا کو بڑھا کر مذکورہ بالا سزا دے دی ہو، تو سپریم کورٹ میں اپیل کی جا سکتی ہے۔
38,شخص کو سپریم کورٹ کا جج، اعلیٰ سول افسر، یا ٹیکنوکریٹ ہونا چاہیے اور اس کی عمر اڑسٹھ سال سے زیادہ نہیں ہونی چاہیے۔,کوئی شخص بطور کمشنر مقرر نہیں کیا جائے گا، تاآنکہ وہ سپریم کورٹ کا جج رہا ہو یا اعلیٰ سول افسر رہا ہو یا ٹیکنوکریٹ ہو اور اس کی عمر اڑسٹھ سال سے زیادہ نہ ہو۔
39,صوبائی حکومت کو کارہائے منصبی کی صوبائی اسمبلی سے ساٹھ دنوں میں توثیق کرانی چاہیے۔,صوبائی حکومت کو کارہائے منصبی کو حاصل کرنا چاہیے جو اس طرح سپرد کیے گئے جن کی صوبائی اسمبلی ساٹھ دنوں میں توثیق کرے گی۔
40,بیان کی گئی شرط یہ ہے کہ ریاست جموں و کشمیر کے عوام کو پاکستان میں شامل ہونے کا فیصلہ کرنا ہوگا۔,مذکورہ ریاست کے عوام کی خواہشات کے مطابق
41,وفاق کا عاملانہ اختیار کسی صوبے کے اندرونی امور پر حاوی نہیں ہو سکتا اگر صوبائی اسمبلی کو بھی ان امور پر قوانین وضع کرنے کا اختیار ہو، ماسواۓ جیسا کہ دستور میں یا پارلیمنٹ کے وضع کردہ کسی قانون میں بالصرات موجود ہو۔,نہیں، وفاق کا عاملانہ اختیار کسی صوبے کے اندرونی امور پر حاوی نہیں ہو سکتا جس کے بارے میں صوبائی اسمبلی کو بھی قوانین وضع کرنے کا اختیار ہو۔
42,نہیں، یہ احکام غیر مسلم شہریوں کے قوانین شخصی یا ان کی بطور شہری حیثیت پر اثر انداز نہیں ہوتے۔,نہیں، قرآن پاک اور سنت کے احکام غیر مسلم شہریوں کے قوانین شخصی پر اثر نہیں پڑتے۔
43,کوئی بھی عدالتی فیصلے جو پارلیمنٹ کو مخصوص آمدنی پر ٹیکس عائد کرنے کی اجازت دینے والی دفعات کے خلاف ہوں، کالعدم اور بے اثر تصور کیے جائیں گے۔,کسی عدالت یا ٹربیونل، بشمول عدالت عظمیٰ یا کسی عدالت عالیہ، کا ہر ایک فیصلہ یا حکم، جو شق ۱ یا شق ۲ کے احکام کے خلاف ہو، کالعدم اور بغیر کسی بھی اثر کے ہوگا اور ہمیشہ سے کالعدم اور بغیر کسی بھی اثر کے متصور ہوگا۔
44,انتظامی اخراجات میں عدالت عظمیٰ، عدالت عالیہ اسلام آباد، محاسب اعلیٰ کے محکمہ، چیف الیکشن کمشنر اور انتخابی کمیشن کے دفتر اور سینٹ اور قومی اسمبلی کے دفاتر کے افسران اور عملہ کو واجب الادا مشاہرہ شامل ہیں۔,عدالت عظمیٰ، عدالت عالیہ اسلام آباد، محاسب اعلیٰ کے محکمہ اور چیف الیکشن کمشنر اور انتخابی کمیشن کے دفتر اور سینٹ اور قومی اسمبلی کے دفاتر کے انتظامی مصارف بشمول افسران اور عملہ کو واجب الادا مشاہرہ سمیت انتظامی اخراجات۔
45,زرعی آمدنی سے مراد وہ زرعی آمدنی ہے جس کی تعریف محصول آمدنی سے متعلق قانون کی اغراض کے لیے کی گئی ہے۔,زرعی آمدنی سے مراد وہ زرعی آمدنی ہے جس کی تعریف محصول آمدنی سے متعلق قانون کی اغراض کے لیے کی گئی ہے۔
46,پاکستان کی ایک عدالت عظمیٰ، ہر صوبے کے لیے ایک عدالت عالیہ، دارالحکومت اسلام آباد کے لیے ایک عدالت عالیہ، اور ایسی دوسری عدالتیں ہوں گی جو قانون کے ذریعے قائم کی جائیں گی۔,پاکستان کے آئین کے مطابق، ایک عدالت عظمیٰ، ہر صوبے کے لیے ایک عدالت عالیہ اور دارالحکومت اسلام آباد کے لیے ایک عدالت عالیہ اور ایسی دوسری عدالتیں قائم کی گئی ہیں جو قانون کے ذریعے قائم کی جائیں گی۔
47,کونسل کی ہدایات یا احکام اس طرح قابل نفاذ ہوں گے گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوئے ہوں۔,کونسل کی ہدایات یا احکام اس طرح قابل نفاذ ہوتے ہیں گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوئے ہوں۔
48,جی ہاں، اس آرٹیکل کے احکامات کا اطلاق ان افراد کے مقدمات پر نہیں ہوگا جو کسی ایکٹ کے تحت مقدمہ چلانے کا دعویٰ کرتے ہیں، یا جو کسی دہشت گرد جماعت یا تنظیم سے وابستہ ہونے کا دعویٰ کرتے ہیں یا اس سے شناخت ہوتے ہیں جو مذہب یا فرقے کے نام کا غلط استعمال کر رہی ہو۔,ہاں، استثنیٰ ہے۔ اس آرٹیکل کے احکامات کا اطلاق ان افراد کے مقدمات پر نہیں ہوگا جو حصہ اول کے ذیلی حصہ سوم کے نمبر شمار 6 اور 7 میں مذکور کسی ایکٹ کے تحت مقدمہ چلانے کا دعویٰ کرتے ہیں، یا جو کسی دہشت گرد جماعت یا تنظیم سے وابستہ ہونے کا دعویٰ کرتے ہیں یا اس سے شناخت ہوتے ہیں جو مذہب یا فرقے کے نام کا غلط استعمال کر رہی ہو۔
49,آرٹیکل میں کہا گیا ہے کہ وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ رقوم کی تحویل، ان کی ادائیگی اور بازخواست، اور تمام متعلقہ امور مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا اس بارے میں احکام وضع ہونے تک صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔,مذکورہ بالا متن میں، وفاقی حکومت کی طرف سے وصول شدہ رقوم کی تحویل اور ان کی ادائیگی اور بازخواست کے بارے میں صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔
50,وفاقی قانون سازی کی فہرست سے متعلق بل کی ابتدا کسی بھی ایوان میں ہو سکتی ہے۔,کسی بھی ایوان میں ہو سکتی ہے۔
51,ریاست پاکستان کے تمام علاقوں کے لوگوں کو پاکستان کی مسلح افواج میں شرکت کے قابل بناتی ہے۔,ریاست مختلف علاقوں کے لوگوں کو فوج میں شامل ہونے کے قابل بنانے کے لیے تمام علاقوں میں مسلح افواج کے لیے بھرتی کے مواقع فراہم کرتی ہے۔
52,وفاقی اور صوبائی حکومتوں کے حسابات کا محاسبہ محاسب اعلیٰ کرتا ہے۔,محاسب اعلیٰ وفاقی اور صوبائی حکومتوں کے حسابات کا محاسبہ کرتا ہے۔
53,چیف جسٹس پاکستان عدالت عظمیٰ کے ججوں کا کورم پورا نہ ہونے کی وجہ سے یا کسی دوسری وجہ سے ججوں کی تعداد میں عارضی طور پر اضافہ کرنے کی ضرورت کے تحت، صدر کی منظوری اور جوڈیشل کمیشن کی مشاورت سے جیسا کہ آرٹیکل 175 الف کی شق 2 میں فراہم کیا گیا ہے، ایک عارضی جج مقرر کر سکتے ہیں۔,چیف جسٹس پاکستان ان حالات میں عدالت عظمیٰ کے لیے ایک عارضی جج مقرر کر سکتے ہیں جب کسی وقت عدالت عظمیٰ کے ججوں کا کورم پورا نہ ہونے کی وجہ سے عدالت کا کوئی اجلاس منعقد کرنا یا جاری رکھنا ممکن نہ رہے، یا کسی دوسری وجہ سے یہ ضروری ہو کہ عدالت عظمیٰ کے ججوں کی تعداد میں عارضی طور پر اضافہ کیا جائے۔
54,اگر وفاقی حکومت یا کوئی صوبائی حکومت کونسل کے کسی فیصلے سے غیر مطمئن ہو، تو وہ اس معاملے کو مجلس شوریٰ (پارلیمنٹ) کی مشترکہ نشست میں بھیج سکے گی جس کا فیصلہ اس بارے میں حتمی ہوگا۔,اگر وفاقی حکومت یا کوئی صوبائی حکومت کونسل کے کسی فیصلے سے غیر مطمئن ہو، تو وہ اس معاملے کو مجلس شوریٰ (پارلیمنٹ) کی مشترکہ نشست میں بھیج سکے گی جس کا فیصلہ اس بارے میں حتمی ہوگا۔
55,وفاقی شرعی عدالت کا صدر مقام اسلام آباد میں واقع ہے۔,وفاقی شرعی عدالت کا صدر مقام اسلام آباد میں واقع ہے۔
56,قومی اسمبلی میں زیر غور کوئی بل یا کوئی بل جو قومی اسمبلی سے منظور ہو جانے پر سینیٹ میں زیر غور ہو، قومی اسمبلی کے ٹوٹنے پر ساقط ہو جائے گا۔,قومی اسمبلی کے ٹوٹنے پر قومی اسمبلی میں زیر غور بل ساقط ہو جائے گا۔
57,کسی ایوان یا صوبائی اسمبلی کو سوال اسلامی کونسل کو بھیجنا ضروری ہے اگر اس کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے۔,اگر کسی ایوان یا صوبائی اسمبلی کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے۔
58,نہیں، عدالت عظمیٰ یا کسی عدالت عالیہ کے جج کو اس آرٹیکل میں قرار دی گئی شرائط کے بغیر، جن میں اعلیٰ عدالتی کونسل کی تحقیقات شامل ہیں، عہدے سے برطرف نہیں کیا جا سکتا۔,نہیں، عدالت عظمیٰ یا کسی عدالت عالیہ کے جج کو اعلیٰ عدالتی کونسل کی تحقیقات کے بغیر عہدے سے برطرف نہیں کیا جا سکتا۔
59,جی ہاں، عدالت کو ہر لحاظ سے ایسی کارروائی کا اہتمام کرنے اور اپنے طریقہ کار کو منضبط کرنے کا اختیار ہوگا جیسا کہ وہ مناسب خیال کرے۔,ہاں، عدالت کو اپنے طریقہ کار کو منضبط کرنے کا اختیار ہوگا، جیسا کہ شق ۲ میں ذکر کیا گیا ہے۔
60,دستور کے تحت پہلی صوبائی اسمبلی کے اراکین وہ ہیں جو یوم آغاز سے عین قبل موجود اس صوبے کی اسمبلی کے اراکین ہیں، اور وہ زائد اراکین جو آرٹیکل ۱۰۶ کی شق ۳ میں محولہ نشستوں کو پر کرنے کے لیے اراکین کی طرف سے قانون کے مطابق منتخب کیے جائیں گے۔,"پہلی صوبائی اسمبلی حسب ذیل پر مشتمل ہوگی:

- اول: یوم آغاز سے عین قبل موجود اس صوبے کی اسمبلی کے اراکین پر؛ اور
- دوم: ان زائد اراکین پر جو آرٹیکل ۱۰۶ کی شق ۳ میں محولہ نشستوں کو پر کرنے کے لیے اراکین کی طرف سے قانون کے مطابق منتخب کیے جائیں گے۔"
61,سپریم کورٹ اور ہائی کورٹ کے ججوں کی تنخواہ اور ملازمت کی شرائط کی تفصیلات جدول پنجم میں مل سکتی ہیں۔,جدول پنجم میں مذکور ہیں۔
62,'قانون' میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے۔,"``` ""قانون"" میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے؛```"
63,الیکشن کمیشن حلقوں کی حدبندی بشمول مقامی حکومتوں کے انتخابی حلقوں کی حدبندی کا ذمہ دار ہے۔,الیکشن کمیشن
64,یہ قرار دیتا ہے کہ آرٹیکل ۱۵۲اے کو حذف کر دیا گیا اور آرٹیکل ۱۷۹ اور ۱۹۵ کو تبدیل کر دیا گیا، اور یہ تبدیلی ہمیشہ سے نافذ العمل سمجھی جائے گی۔,دستور (سترہویں ترمیم) ایکٹ، ۲۰۰۳ کے ذریعے آرٹیکل ۱۵۲اے کو حذف کر دیا گیا اور آرٹیکل ۱۷۹ اور ۱۹۵ کو تبدیل کر دیا گیا ہے۔
65,جی ہاں، صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔,نہیں، وزیر اعظم نئے وزیر اعظم کے منتخب ہونے کے بعد عہدے پر نہیں رہ سکتا۔
66,مجلس شوریٰ (پارلیمنٹ) کو وفاقی یا صوبائی قانون کے تحت قائم شدہ کارپوریشنز اور دیگر اداروں کی آمدنی پر محصول عائد کرنے کا اختیار ہے۔,مجلس شوریٰ (پارلیمنٹ) کے پاس ہے۔
