id,answers,prediction_text_claude
10,قانون بننے تک صدر بذریعہ فرمان چیئرمین، ڈپٹی چیئرمین، وزیر اعظم اور سینیٹ کے ارکان کی تنخواہیں، بھتے اور مراعات متعین کر سکتا ہے۔,صدر بذریعہ فرمان
11,صدر کو جسمانی یا دماغی نا اہلی، دستور کی خلاف ورزی، یا فاش غلط روی کی بنیاد پر عہدے سے ہٹایا جا سکتا ہے۔,"صدر کو درج ذیل حالات میں عہدے سے ہٹایا جا سکتا ہے:

۱۔ جسمانی یا دماغی نا اہلی کی بنیاد پر
۲۔ دستور کی خلاف ورزی کے الزام میں
۳۔ فاش غلط روی کے الزام میں"
12,ہر عدالت عالیہ کے اضافی بینچوں کے مقامات کا تعین گورنر کابینہ کے مشورے اور عدالت عالیہ کے چیف جسٹس کے مشورے سے کرتا ہے۔,گورنر کابینہ کی رائے سے اور عدالت عالیہ کے چیف جسٹس کے مشورے سے ہر عدالت عالیہ کے اضافی بینچوں کے مقامات کا تعین کرتا ہے۔
13,عدالت ایسا حکم صادر کر سکتی ہے جو وہ مناسب سمجھے، جس میں کسی حکم سزا کی تعمیل روکنا اور ملزم کو ضمانت پر یا اس کے اپنے مچلکہ پر رہا کرنا شامل ہو سکتا ہے جب تک کہ ریکارڈ کا جائزہ نہ لے لیا جائے۔,"عدالت درج ذیل اقدامات کر سکتی ہے:

۱. مقدمے کا ریکارڈ طلب کر سکتی ہے اور اس کا جائزہ لے سکتی ہے۔

۲. حکم سزا کی تعمیل روکنے کی ہدایت دے سکتی ہے۔

۳. اگر ملزم زیر حراست ہو تو اسے ضمانت پر یا اس کے اپنے مچلکہ پر رہا کرنے کا حکم دے سکتی ہے۔

۴. مناسب سمجھے جانے والا کوئی بھی حکم صادر کر سکتی ہے۔

۵. سزا میں اضافہ کر سکتی ہے، لیکن تجویز برأت کو تجویز سزا یابی میں نہیں بدل سکتی۔

۶. تاہم، ملزم کی مضرت میں کوئی حکم صادر کرنے سے پہلے اسے اپنی صفائی پیش کرنے کا موقع دینا ضروری ہے۔"
14,گورنر، عدالت عالیہ کے جج، صوبائی اسمبلی کے اسپیکر اور ڈپٹی اسپیکر، اور عدالت عالیہ اور صوبائی اسمبلی سیکرٹریٹ کے افسران اور ملازمین کی تنخواہ صوبائی مجموعی فنڈ پر واجب الادا ہوتی ہے۔,"صوبائی مجموعی فنڈ پر درج ذیل افراد کی تنخواہیں واجب الادا ہوتی ہیں:

۱۔ گورنر
۲۔ عدالت عالیہ کے جج
۳۔ صوبائی اسمبلی کے اسپیکر اور ڈپٹی اسپیکر
۴۔ عدالت عالیہ اور صوبائی اسمبلی سیکرٹریٹ کے افسران اور ملازمین"
15,بل پر مجلس شوریٰ (پارلیمنٹ) کے مشترکہ اجلاس میں دوبارہ غور کیا جاتا ہے، اور اگر اسے دونوں ایوانوں کے موجود اراکین کی اکثریت رائے دہی اور رائے شماری سے دوبارہ منظور کر لیا جائے، تو اسے صدر کو پیش کیا جاتا ہے، جو دس دن کے اندر اس کی منظوری دے گا، ناکامی کی صورت میں مذکورہ منظوری دی گئی متصور ہو گی۔,اگر صدر بل کو مجلس شوریٰ (پارلیمنٹ) کو واپس کر دے تو مجلس شوریٰ (پارلیمنٹ) مشترکہ اجلاس میں اس پر دوبارہ غور کرے گی۔ اگر مجلس شوریٰ (پارلیمنٹ) دونوں ایوانوں کے موجود اراکین کی اکثریت رائے دہی اور رائے شماری سے ترمیم کے ساتھ یا بلا ترمیم بل کو دوبارہ منظور کر لے، تو اسے صدر کو پیش کیا جائے گا۔ صدر کو اس کی منظوری دس دن میں دینی ہوگی، اور اگر وہ ایسا نہیں کرتا تو منظوری دی گئی متصور ہو گی۔
16,گورنر عدالت عالیہ کے چیف جسٹس کے سامنے حلف اٹھاتا ہے۔,ﻋﺪﺍﻟﺖ ﻋﺎﻟﯿﮧ ﮐﮯ ﭼﯿﻒ ﺟﺴﭩﺲ ﮐﮯ ﺳﺎﻣﻨﮯ
17,ہنگامی حالت کے دوران پارلیمنٹ کے بنائے گئے قوانین، جنہیں بنانے کا اختیار پارلیمنٹ کو نہ ہوتا اگر ہنگامی حالت کا اعلان جاری نہ ہوا ہوتا، اعلان کے نافذ العمل نہ رہنے کے چھ ماہ بعد غیر موثر ہو جائیں گے، سوائے ان امور کے جو مذکورہ مدت کے ختم ہونے سے قبل انجام پا چکے ہوں یا انجام دہی سے نظرانداز ہو گئے ہوں۔,"ہنگامی حالت کے ختم ہونے کے بعد پارلیمنٹ کے بنائے گئے قوانین کے بارے میں دستور کہتا ہے:

مجلس شوریٰ (پارلیمنٹ) کا وضع کردہ کوئی ایسا قانون جس کے وضع کرنے کا اختیار مجلس شوریٰ (پارلیمنٹ) کو نہ ہوتا اگر ہنگامی حالت کا اعلان جاری نہ ہوا ہوتا، اعلان کے نافذ العمل نہ رہنے کے چھ ماہ بعد اس حد تک غیر موثر ہو جائے گا جس حد تک کہ مجلس شوریٰ (پارلیمنٹ) کو اس کے بنانے کا اختیار نہ تھا سوائے ان امور کے بابت جو مذکورہ مدت کے ختم ہونے سے قبل انجام پا چکے ہوں یا انجام دہی سے نظرانداز ہو گئے ہوں۔"
18,وزیرِاعظم کے خلاف عدم اعتماد کا ووٹ پیش کرنے کے لیے قومی اسمبلی کی کل رکنیت کے کم از کم بیس فیصد ارکان کی ضرورت ہوتی ہے۔,قومی اسمبلی کی کل رکنیت کے کم از کم بیس فیصد
19,وفاقی حکومت کو کسی صوبے میں پن بجلی کے پاور اسٹیشن تعمیر کرنے کا فیصلہ کرنے سے پہلے متعلقہ صوبائی حکومت سے مشاورت کرنی چاہیے۔,وفاقی حکومت کو کسی صوبے میں پن بجلی کا پاور اسٹیشن تعمیر کرنے کا فیصلہ کرنے یا تعمیر کرنے سے قبل، متعلقہ صوبائی حکومت سے مشاورت کرنی چاہیے۔
20,پاکستان کے چیف جسٹس صدر کو حلف دلواتے ہیں۔,چیف جسٹس آف پاکستان
21,نہیں، کوئی پاکستانی شہری وفاقی حکومت کی منظوری کے بغیر کسی بیرونی ریاست سے کوئی خطاب، اعزاز یا اعزازی نشان قبول نہیں کر سکتا۔,نہیں، کوئی پاکستانی شہری بغیر وفاقی حکومت کی منظوری کے کسی غیر ملکی ملک سے کوئی اعزاز قبول نہیں کر سکتا۔
22,جی ہاں، انگریزی زبان اس وقت تک سرکاری اغراض کے لیے استعمال کی جا سکتی ہے، جب تک کہ اسے اردو سے تبدیل کرنے کے انتظامات نہ ہو جائیں۔,جی ہاں، پاکستان میں سرکاری اغراض کے لیے انگریزی زبان استعمال کی جا سکتی ہے، جب تک کہ اسے اردو سے تبدیل کرنے کے انتظامات نہ ہو جائیں۔
23,الیکشن کمیشن کے ارکان کا تقرر صدر کرتا ہے۔,الیکشن کمیشن کے ارکان کا تقرر صدر کرتا ہے، آرٹیکل 213 کی شق 2A اور 2B میں کمشنر کے تقرر کے لیے فراہم کیے گئے طریقہ کار کے مطابق۔
24,نہیں، کسی شخص کو کوئی ایسا خاص محصول ادا کرنے پر مجبور نہیں کیا جا سکتا جس کی آمدنی اس کے اپنے مذہب کے علاوہ کسی اور مذہب کی تبلیغ و ترویج پر صرف کی جائے۔,نہیں، کسی شخص کو ایسا محصول ادا کرنے پر مجبور نہیں کیا جا سکتا جو اس کے اپنے مذہب کے علاوہ کسی اور مذہب کی تبلیغ و ترویج پر صرف کیا جائے۔
25,جی ہاں، اگر کوئی صوبائی حکومت اپنے صوبے سے باہر تجارت یا کاروبار کرتی ہے، تو اس پر مجلس شوریٰ (پارلیمنٹ) کے ایکٹ یا جس صوبے میں وہ تجارت یا کاروبار کیا جاتا ہو، اس صوبے کی صوبائی اسمبلی کے ایکٹ کے تحت محصول عائد کیا جا سکتا ہے۔,جی ہاں، کسی صوبائی حکومت پر اپنے صوبے سے باہر کی جانے والی کاروباری سرگرمیوں پر محصول عائد کیا جا سکتا ہے۔ دیے گئے متن کے مطابق، اگر کوئی صوبائی حکومت اپنے صوبے سے باہر تجارت یا کاروبار کرتی ہے، تو اس کاروبار میں استعمال ہونے والی املاک یا اس سے حاصل ہونے والی آمدنی پر مجلس شوریٰ (پارلیمنٹ) کے ایکٹ یا جس صوبے میں وہ کاروبار کیا جا رہا ہے، اس صوبے کی صوبائی اسمبلی کے ایکٹ کے تحت محصول عائد کیا جا سکتا ہے۔
26,گورنر، وزیراعلیٰ کو اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے تاوقتیکہ اس کا جانشین وزیراعلیٰ کے عہدے پر فائز نہ ہو جائے۔,گورنر
27,جی ہاں، صوبائی حکومت یا مقامی ہیئت مجاز تقرر سے قبل کسی بھی آسامی یا ملازمت کی قسم کے لیے زیادہ سے زیادہ تین سال تک سکونت کی شرائط عائد کر سکتی ہے۔,جی ہاں، پاکستان میں صوبائی حکومت عوامی خدمت کی ملازمتوں کے لیے سکونت کی شرائط مقرر کر سکتی ہے۔ دستور کے مطابق، کوئی صوبائی حکومت یا صوبے کی کوئی مقامی یا دیگر ہیئت مجاز اپنے تحت کسی آسامی یا ملازمت کے لیے تقرر سے قبل، اس صوبے میں زیادہ سے زیادہ تین سال تک کی سکونت سے متعلق شرائط عائد کر سکتی ہے۔
28,جی ہاں، قومی اسمبلی کی رکنیت کے لئے اہلیت اور نااہلیت کے قواعد صوبائی اسمبلی پر بھی لاگو ہوتے ہیں۔,جی ہاں، قومی اسمبلی کے رکن بننے کے لئے وہی قواعد صوبائی اسمبلی پر بھی لاگو ہوتے ہیں۔ آرٹیکل 311 کے مطابق، آرٹیکل 26 اور 36 میں مندرج قومی اسمبلی کی رکنیت کے لئے اہلیت اور نااہلیت کا اطلاق صوبائی اسمبلی کے لئے بھی اسی طرح ہوگا۔
29,عدالت عظمیٰ کا جج پینسٹھ سال کی عمر کو پہنچنے تک خدمت کر سکتا ہے۔,عدالت عظمیٰ کا جج پینسٹھ سال کی عمر تک خدمت کر سکتا ہے۔
30,قومی مالیاتی کمیشن کا ایک فرض صدر کو وفاق اور صوبوں کے مابین بعض محصولات کی خالص آمدنی کی تقسیم کے بارے میں سفارشات پیش کرنا ہے۔,قومی مالیاتی کمیشن کا ایک فرض یہ ہے کہ وہ صدر کو شق 3 میں مذکورہ محصولات کی خالص آمدنی کی وفاق اور صوبوں کے مابین تقسیم کے بارے میں سفارشات پیش کرے۔
31,یوم آغاز سے قبل صوبائی اغراض کے لیے استعمال ہونے والی جائیداد اور اثاثے اس دن سے صوبے کی حکومت کے تصرف میں آ جائیں گے۔,یوم آغاز سے قبل صوبائی اغراض کے لیے استعمال ہونے والی جائیداد اور اثاثے یوم مذکورہ سے اس صوبے کی حکومت کے تصرف میں بدستور رہیں گے۔ تاہم، اگر یہ جائیداد اور اثاثے ایسی اغراض کے لیے استعمال ہونے لگیں جو یوم آغاز پر وفاقی حکومت کی اغراض بن گئی ہوں، تو اس صورت میں ان پر وفاقی حکومت کا تصرف ہو جائے گا۔
32,ایوان کی کارروائی اس بناء پر ناجائز نہیں ہوگی کہ کچھ اشخاص جو ایسا کرنے کا حق نہیں رکھتے تھے، کارروائی کے دوران بیٹھے، ووٹ دیئے یا کسی اور صورت میں حصہ لیتے رہے۔,اس صورت میں ایوان کی کارروائی ناجائز نہیں ہوگی۔ دستور کے مطابق، اگر کچھ ایسے اشخاص جو کارروائی میں حصہ لینے کا حق نہیں رکھتے تھے، کارروائی کے دوران بیٹھے، ووٹ دیئے یا کسی اور صورت میں حصہ لیتے رہے، تو بھی ایوان کی کارروائی قانونی اور جائز رہے گی۔
33,جی ہاں، ہر مذہبی گروہ اور فرقے کو قانون، امن عامہ اور اخلاق کے تابع اپنے مذہبی ادارے قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق ہے۔,جی ہاں، پاکستان میں ہر مذہبی گروہ اور اس کے ہر فرقے کو اپنے مذہبی ادارے قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق حاصل ہے۔ تاہم یہ حق قانون، امن عامہ اور اخلاق کے تابع ہے۔
34,مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل کسی امر کے بارے میں قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا۔,مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل کسی امر کے بارے میں قوانین بنانے کا بلا شرکت غیرے اختیار ہے۔
35,سینیٹ 96 ارکان پر مشتمل ہے۔,سینیٹ میں 96 ارکان ہیں۔
36,نہیں، کوئی شخص جو کسی مجاز عدالت کی طرف سے فاتر العقل قرار دیا گیا ہو، پارلیمنٹ کا رکن منتخب ہونے یا چنے جانے کے لیے نااہل ہوتا ہے۔,نہیں، کوئی شخص جو عدالت کی طرف سے فاتر العقل قرار دیا گیا ہو، پارلیمنٹ کا رکن نہیں بن سکتا۔ دی گئی معلومات کے مطابق، ایسا شخص مجلس شوریٰ (پارلیمنٹ) کا رکن منتخب ہونے یا چنے جانے اور رکن پارلیمنٹ کی رکنیت رہنے کے لیے نااہل ہوگا۔
37,سپریم کورٹ میں اپیل کی جا سکتی ہے اگر ہائی کورٹ نے اپیل پر کسی ملزم کے بری ہونے کے حکم کو بدل دیا ہو اور اسے سزائے موت یا عمر قید یا عمر قید کی سزا دے دی ہو، یا نگرانی کی درخواست پر کسی سزا کو بڑھا کر مذکورہ بالا سزا دے دی ہو۔,سپریم کورٹ میں اپیل کی جا سکتی ہے اگر ہائی کورٹ نے اپیل پر کسی ملزم کے بری ہونے کے حکم کو بدل دیا ہو اور اسے سزائے موت یا عمر قید یا عمر قید کی سزا دے دی ہو، یا نگرانی کی درخواست پر کسی سزا کو بڑھا کر مذکورہ بالا سزا دے دی ہو۔
38,شخص کو سپریم کورٹ کا جج، اعلیٰ سول افسر، یا ٹیکنوکریٹ ہونا چاہیے اور اس کی عمر اڑسٹھ سال سے زیادہ نہیں ہونی چاہیے۔,"چیف الیکشن کمشنر کے تقرر کے لیے درج ذیل شرائط ہیں:

۱۔ وہ سپریم کورٹ کا جج رہا ہو یا اعلیٰ سول افسر رہا ہو یا ٹیکنوکریٹ ہو۔

۲۔ اس کی عمر اڑسٹھ سال سے زیادہ نہ ہو۔

۳۔ اعلیٰ سول ملازم کی صورت میں، اس نے وفاقی یا کسی صوبائی حکومت کے تحت کم از کم بیس سال ملازمت کی ہو اور بی پی ایس-۲۲ یا بالاتر میں ریٹائر ہوا ہو۔

۴۔ ٹیکنوکریٹ کی صورت میں، وہ ہائر ایجوکیشن کمیشن کی جانب سے تسلیم شدہ کم از کم سولہ سالہ تعلیم کی تکمیل کی متقاضی ڈگری کا حامل ہو اور کم از کم بیس سال کا تجربہ بشمول قومی یا بین الاقوامی سطح پر کامیابیوں کا ریکارڈ رکھتا ہو۔"
39,صوبائی حکومت کو کارہائے منصبی کی صوبائی اسمبلی سے ساٹھ دنوں میں توثیق کرانی چاہیے۔,صوبائی حکومت کو چاہیے کہ وہ سپرد کیے گئے کارہائے منصبی کی ساٹھ دنوں کے اندر صوبائی اسمبلی سے توثیق کروائے۔
40,بیان کی گئی شرط یہ ہے کہ ریاست جموں و کشمیر کے عوام کو پاکستان میں شامل ہونے کا فیصلہ کرنا ہوگا۔,ریاست جموں و کشمیر کے عوام کا پاکستان میں شامل ہونے کا فیصلہ کرنا۔
41,وفاق کا عاملانہ اختیار کسی صوبے کے اندرونی امور پر حاوی نہیں ہو سکتا اگر صوبائی اسمبلی کو بھی ان امور پر قوانین وضع کرنے کا اختیار ہو، ماسواۓ جیسا کہ دستور میں یا پارلیمنٹ کے وضع کردہ کسی قانون میں بالصرات موجود ہو۔,نہیں، وفاق کا عاملانہ اختیار کسی صوبے کے اندرونی امور پر حاوی نہیں ہو سکتا جس کے بارے میں صوبائی اسمبلی کو قوانین وضع کرنے کا اختیار ہے، سوائے اس کے کہ دستور یا مجلس شوریٰ کے وضع کردہ کسی قانون میں اس کی صراحت موجود ہو۔
42,نہیں، یہ احکام غیر مسلم شہریوں کے قوانین شخصی یا ان کی بطور شہری حیثیت پر اثر انداز نہیں ہوتے۔,نہیں، اس حصے میں کسی امر کا غیر مسلم شہریوں کے قوانین شخصی یا شہریوں کی بطور ان کی حیثیت پر اثر نہیں پڑے گا۔
43,کوئی بھی عدالتی فیصلے جو پارلیمنٹ کو مخصوص آمدنی پر ٹیکس عائد کرنے کی اجازت دینے والی دفعات کے خلاف ہوں، کالعدم اور بے اثر تصور کیے جائیں گے۔,"ان عدالتی فیصلوں کا کیا ہوتا ہے جو پارلیمنٹ کو مخصوص آمدنی پر ٹیکس عائد کرنے کی اجازت دینے والی دفعات کے خلاف ہوں؟

جواب:

کسی عدالت یا ٹربیونل، بشمول عدالت عظمیٰ یا کسی عدالت عالیہ، کا ہر ایک فیصلہ یا حکم، جو شق ۱ یا شق ۲ کے احکام کے خلاف ہو، کالعدم اور بغیر کسی بھی اثر کے ہوگا اور ہمیشہ سے کالعدم اور بغیر کسی بھی اثر کے متصور ہوگا۔"
44,انتظامی اخراجات میں عدالت عظمیٰ، عدالت عالیہ اسلام آباد، محاسب اعلیٰ کے محکمہ، چیف الیکشن کمشنر اور انتخابی کمیشن کے دفتر اور سینٹ اور قومی اسمبلی کے دفاتر کے افسران اور عملہ کو واجب الادا مشاہرہ شامل ہیں۔,"وفاقی مجموعی فنڈ پر واجب الادا انتظامی اخراجات میں درج ذیل مصارف شامل ہیں:

عدالت عظمیٰ، عدالت عالیہ اسلام آباد، محاسب اعلیٰ کے محکمہ اور چیف الیکشن کمشنر اور انتخابی کمیشن کے دفتر اور سینٹ اور قومی اسمبلی کے دفاتر کے انتظامی مصارف بشمول افسران اور عملہ کو واجب الادا مشاہرہ سمیت انتظامی اخراجات۔"
45,زرعی آمدنی سے مراد وہ زرعی آمدنی ہے جس کی تعریف محصول آمدنی سے متعلق قانون کی اغراض کے لیے کی گئی ہے۔,زرعی آمدنی سے مراد وہ زرعی آمدنی ہے جس کی تعریف محصول آمدنی سے متعلق قانون کی اغراض کے لیے کی گئی ہے۔
46,پاکستان کی ایک عدالت عظمیٰ، ہر صوبے کے لیے ایک عدالت عالیہ، دارالحکومت اسلام آباد کے لیے ایک عدالت عالیہ، اور ایسی دوسری عدالتیں ہوں گی جو قانون کے ذریعے قائم کی جائیں گی۔,"پاکستان کے آئین کے مطابق درج ذیل عدالتیں قائم کی گئی ہیں:

۱. ایک عدالت عظمیٰ
۲. ہر صوبے کے لیے ایک عدالت عالیہ
۳. دارالحکومت اسلام آباد کے لیے ایک عدالت عالیہ
۴. دیگر عدالتیں جو قانون کے ذریعے قائم کی جائیں گی"
47,کونسل کی ہدایات یا احکام اس طرح قابل نفاذ ہوں گے گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوئے ہوں۔,کونسل کی ہدایات یا احکام اس طرح قابل نفاذ ہوں گے گویا کہ وہ عدالت عظمیٰ کی جانب سے جاری ہوئے ہوں۔
48,جی ہاں، اس آرٹیکل کے احکامات کا اطلاق ان افراد کے مقدمات پر نہیں ہوگا جو کسی ایکٹ کے تحت مقدمہ چلانے کا دعویٰ کرتے ہیں، یا جو کسی دہشت گرد جماعت یا تنظیم سے وابستہ ہونے کا دعویٰ کرتے ہیں یا اس سے شناخت ہوتے ہیں جو مذہب یا فرقے کے نام کا غلط استعمال کر رہی ہو۔,جی ہاں، عدلیہ کو انتظامیہ سے علیحدہ کرنے میں استثنیٰ ہے۔ یہ استثنیٰ ان افراد کے مقدمات پر لاگو ہوتا ہے جو حصہ اول کے ذیلی حصہ سوم کے نمبر شمار 6 اور 7 میں مذکور کسی ایکٹ کے تحت مقدمہ چلانے کا دعویٰ کرتے ہیں، یا جو کسی دہشت گرد جماعت یا تنظیم سے وابستہ ہونے کا دعویٰ کرتے ہیں یا اس سے شناخت ہوتے ہیں جو مذہب یا فرقے کے نام کا غلط استعمال کر رہی ہو۔
49,آرٹیکل میں کہا گیا ہے کہ وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ رقوم کی تحویل، ان کی ادائیگی اور بازخواست، اور تمام متعلقہ امور مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا اس بارے میں احکام وضع ہونے تک صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔,آرٹیکل کے مطابق، وفاقی حکومت کی طرف سے یا اس کی طرف سے وصول شدہ دیگر رقوم کی تحویل، وفاق کے سرکاری حساب میں ان کی ادائیگی اور بازخواست، مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا، اس بارے میں اس طرح احکام وضع ہونے تک، صدر کے وضع کردہ قواعد کے بموجب منضبط ہوں گے۔
50,وفاقی قانون سازی کی فہرست سے متعلق بل کی ابتدا کسی بھی ایوان میں ہو سکتی ہے۔,وفاقی قانون سازی کی فہرست سے متعلق بل کی ابتدا کسی بھی ایوان میں ہو سکتی ہے۔
51,ریاست پاکستان کے تمام علاقوں کے لوگوں کو پاکستان کی مسلح افواج میں شرکت کے قابل بناتی ہے۔,مملکت پاکستان تمام علاقوں کے لوگوں کو مسلح افواج میں شرکت کے قابل بنائے گی۔
52,وفاقی اور صوبائی حکومتوں کے حسابات کا محاسبہ محاسب اعلیٰ کرتا ہے۔,محاسب اعلیٰ
53,چیف جسٹس پاکستان عدالت عظمیٰ کے ججوں کا کورم پورا نہ ہونے کی وجہ سے یا کسی دوسری وجہ سے ججوں کی تعداد میں عارضی طور پر اضافہ کرنے کی ضرورت کے تحت، صدر کی منظوری اور جوڈیشل کمیشن کی مشاورت سے جیسا کہ آرٹیکل 175 الف کی شق 2 میں فراہم کیا گیا ہے، ایک عارضی جج مقرر کر سکتے ہیں۔,"چیف جسٹس پاکستان درج ذیل حالات میں عدالت عظمیٰ کے لیے ایک عارضی جج مقرر کر سکتے ہیں:

۱. جب عدالت عظمیٰ کے ججوں کا کورم پورا نہ ہونے کی وجہ سے عدالت کا کوئی اجلاس منعقد کرنا یا جاری رکھنا ممکن نہ رہے۔

۲. جب کسی دوسری وجہ سے یہ ضروری ہو کہ عدالت عظمیٰ کے ججوں کی تعداد میں عارضی طور پر اضافہ کیا جائے۔"
54,اگر وفاقی حکومت یا کوئی صوبائی حکومت کونسل کے کسی فیصلے سے غیر مطمئن ہو، تو وہ اس معاملے کو مجلس شوریٰ (پارلیمنٹ) کی مشترکہ نشست میں بھیج سکے گی جس کا فیصلہ اس بارے میں حتمی ہوگا۔,اگر وفاقی حکومت یا کوئی صوبائی حکومت کونسل کے کسی فیصلے سے غیر مطمئن ہو، تو وہ اس معاملے کو مجلس شوریٰ (پارلیمنٹ) کی مشترکہ نشست میں بھیج سکے گی جس کا فیصلہ اس بارے میں حتمی ہوگا۔
55,وفاقی شرعی عدالت کا صدر مقام اسلام آباد میں واقع ہے۔,وفاقی شرعی عدالت کا صدر مقام اسلام آباد میں ہوگا۔
